new_rank,new_scores,facts,#facts,original_rank,prediction,new_ranks,new_score,original_score
3.5,"[2.2263274, 2.5192423]","[(6619, 3, 149)]",1,3,"(6619, 8, 7410)","[2, 5]",2.3727849,4.519601
1.0,"[2.6615167, 3.074779]","[(5498, 4, 66)]",1,5,"(5498, 10, 7830)","[1, 1]",2.8681479,3.2503138
1.0,"[4.6162596, 3.573164]","[(5586, 1, 65)]",1,2,"(5586, 12, 4492)","[1, 1]",4.094712,3.338922
1.0,"[2.1290643, 2.477272]","[(7335, 4, 66)]",1,7,"(7335, 8, 7429)","[1, 1]",2.3031683,5.230544
1.0,"[2.725736, 3.0342364]","[(5645, 2, 31)]",1,5,"(5645, 10, 7830)","[1, 1]",2.8799863,3.5500622
5.0,"[2.4806702, 2.732215]","[(7058, 3, 427)]",1,1,"(7058, 8, 7566)","[5, 5]",2.6064425,5.7202277
2.5,"[2.65417, 3.7442665]","[(6914, 4, 66)]",1,3,"(6914, 11, 7869)","[3, 2]",3.1992183,3.5952108
1.5,"[2.1370687, 2.5905213]","[(6492, 2, 68)]",1,4,"(6492, 8, 7410)","[1, 2]",2.363795,5.323513
3.5,"[3.5652077, 3.5662289]","[(6587, 3, 78)]",1,36,"(6587, 9, 8151)","[4, 3]",3.5657182,3.5309901
1.0,"[2.7240987, 3.0342693]","[(5717, 2, 31)]",1,5,"(5717, 10, 7830)","[1, 1]",2.879184,3.39451
1.0,"[2.1459374, 2.4580884]","[(5498, 4, 66)]",1,1,"(5498, 8, 7429)","[1, 1]",2.302013,4.6961765
5.0,"[2.324485, 2.5722318]","[(6195, 4, 66)]",1,3,"(6195, 8, 7566)","[4, 6]",2.4483585,5.671821
3.0,"[2.4041526, 2.7220917]","[(4952, 3, 38)]",1,2,"(4952, 8, 7567)","[4, 2]",2.5631223,5.7716856
1.0,"[2.809576, 3.0393102]","[(7655, 3, 40)]",1,5,"(7655, 10, 7830)","[1, 1]",2.9244432,3.4012923
3.5,"[2.287452, 2.5598722]","[(6812, 4, 66)]",1,3,"(6812, 8, 7410)","[2, 5]",2.4236622,5.3270907
5.0,"[2.6045527, 2.8374236]","[(5756, 4, 924)]",1,2,"(5756, 8, 7408)","[4, 6]",2.7209883,5.3250837
1.0,"[2.6093795, 2.9162223]","[(7788, 2, 68)]",1,3,"(7788, 10, 7830)","[1, 1]",2.762801,2.5668676
1.0,"[2.6190445, 3.1445658]","[(5920, 2, 69)]",1,5,"(5920, 10, 7830)","[1, 1]",2.8818052,3.567545
1.5,"[2.535034, 3.6155024]","[(7107, 2, 31)]",1,1,"(7107, 11, 7869)","[2, 1]",3.0752683,2.672183
1.0,"[2.95395, 3.1234295]","[(7756, 3, 40)]",1,5,"(7756, 10, 7830)","[1, 1]",3.0386896,2.9227967
2.5,"[2.4535236, 3.680787]","[(6320, 2, 31)]",1,2,"(6320, 11, 7956)","[1, 4]",3.0671554,2.8491967
1.5,"[2.415999, 3.7002602]","[(5822, 4, 66)]",1,1,"(5822, 11, 7956)","[1, 2]",3.0581295,2.6253808
2.0,"[2.5260081, 3.7506938]","[(5279, 4, 66)]",1,1,"(5279, 11, 7956)","[1, 3]",3.138351,3.3306432
1.5,"[2.4925175, 3.7667744]","[(7125, 4, 66)]",1,3,"(7125, 11, 7956)","[1, 2]",3.1296458,3.6683598
3.5,"[2.338631, 2.627482]","[(4870, 3, 7)]",1,2,"(4870, 8, 7567)","[4, 3]",2.4830565,5.0585365
1.0,"[2.8348422, 3.0404177]","[(5517, 3, 7)]",1,5,"(5517, 10, 7830)","[1, 1]",2.93763,3.568142
1.0,"[2.706404, 2.98625]","[(6213, 2, 31)]",1,5,"(6213, 10, 7830)","[1, 1]",2.8463268,3.2811787
2.5,"[2.6497025, 3.698996]","[(6373, 3, 10)]",1,2,"(6373, 11, 7869)","[3, 2]",3.1743493,3.463342
1.0,"[2.8163958, 3.1355538]","[(6966, 3, 185)]",1,4,"(6966, 10, 7830)","[1, 1]",2.9759748,3.772318
1.5,"[2.3794756, 3.6825163]","[(7450, 8, 7429)]",1,1,"(7450, 11, 7956)","[1, 2]",3.0309958,2.4277787
2.0,"[2.6010287, 3.817677]","[(5907, 4, 66)]",1,7,"(5907, 11, 7956)","[1, 3]",3.209353,3.9130654
1.0,"[2.852024, 3.076785]","[(7177, 3, 100)]",1,5,"(7177, 10, 7830)","[1, 1]",2.9644046,3.7173736
1.0,"[2.1628013, 2.5290606]","[(7335, 4, 66)]",1,2,"(7335, 8, 7410)","[1, 1]",2.345931,5.0394883
1.0,"[2.109571, 2.4938388]","[(5645, 2, 31)]",1,6,"(5645, 8, 7429)","[1, 1]",2.301705,4.9103956
2.0,"[2.5650876, 3.7814395]","[(6966, 3, 20)]",1,3,"(6966, 11, 7956)","[1, 3]",3.1732635,3.4898267
3.0,"[2.5546813, 2.7233634]","[(6900, 4, 906)]",1,1,"(6900, 8, 7566)","[2, 4]",2.6390224,5.7092123
1.0,"[2.682832, 3.0573592]","[(7065, 3, 192)]",1,5,"(7065, 10, 7830)","[1, 1]",2.8700957,3.4794037
1.0,"[2.2358172, 2.4963474]","[(5533, 1, 1054)]",1,1,"(5533, 8, 7429)","[1, 1]",2.3660822,4.629287
2.5,"[2.3474073, 2.6783233]","[(5907, 4, 66)]",1,1,"(5907, 8, 7566)","[2, 3]",2.5128653,5.352762
2.0,"[2.6312585, 3.7211916]","[(7125, 4, 66)]",1,3,"(7125, 11, 7869)","[2, 2]",3.1762252,3.5670092
2.5,"[2.1557724, 2.4732203]","[(6394, 4, 66)]",1,1,"(6394, 8, 7427)","[3, 2]",2.3144965,3.8982012
2.0,"[2.7096426, 3.7890766]","[(7426, 3, 39)]",1,3,"(7426, 11, 7956)","[1, 3]",3.2493596,3.2648082
2.0,"[2.4799, 3.7292619]","[(7655, 3, 9)]",1,3,"(7655, 11, 7956)","[1, 3]",3.1045809,2.9549463
2.0,"[2.2635078, 2.4862874]","[(5770, 3, 7)]",1,3,"(5770, 8, 7410)","[1, 3]",2.3748975,5.424654
1.0,"[2.7261643, 3.0550983]","[(6504, 3, 9)]",1,5,"(6504, 10, 7830)","[1, 1]",2.8906312,3.9476411
1.0,"[2.1598794, 2.5495012]","[(6492, 2, 68)]",1,5,"(6492, 8, 7393)","[1, 1]",2.3546903,5.3959875
2.0,"[2.3831491, 3.6621041]","[(6383, 2, 68)]",1,2,"(6383, 11, 7956)","[1, 3]",3.0226266,2.6421046
2.0,"[2.6294072, 2.6997628]","[(5558, 4, 169)]",1,4,"(5558, 8, 7410)","[1, 3]",2.664585,5.885943
1.0,"[4.7606516, 3.4578252]","[(7628, 3, 177)]",1,3,"(7628, 12, 8676)","[1, 1]",4.1092386,2.6512852
1.0,"[2.794586, 3.09927]","[(6205, 3, 6210)]",1,5,"(6205, 10, 7830)","[1, 1]",2.946928,3.9084363
2.0,"[2.2625957, 2.498062]","[(7201, 5, 7202)]",1,2,"(7201, 8, 7410)","[1, 3]",2.3803287,4.1836443
2.0,"[2.5711043, 3.6838903]","[(4952, 2, 31)]",1,3,"(4952, 11, 7869)","[3, 1]",3.1274972,3.7838056
