#facts,new_rank,facts,new_ranks,prediction,original_score,original_rank,new_scores,new_score
3,1.0,"[(5920, 3, 748), (5920, 3, 279), (5920, 3, 6)]","[1, 1]","(5920, 12, 8676)",9.47781,1,"[7.805842, 8.532316]",8.169079
3,1.0,"[(6419, 3, 506), (6419, 2, 729), (6419, 3, 1744)]","[1, 1]","(6419, 9, 8339)",6.532011,1,"[6.3049564, 6.1727915]",6.238874
3,2.0,"[(4757, 3, 10), (4757, 3, 40), (4757, 3, 220)]","[2, 2]","(4757, 11, 7984)",5.4328356,4,"[5.52827, 5.8817887]",5.7050295
3,1.0,"[(4727, 3, 479), (4727, 3, 476), (4727, 3, 39)]","[1, 1]","(4727, 11, 8038)",6.7546163,1,"[7.1571302, 6.3792934]",6.768212
3,2.0,"[(7769, 3, 219), (7769, 3, 185), (7769, 3, 479)]","[2, 2]","(7769, 12, 8626)",8.398724,1,"[7.2417173, 7.7010355]",7.4713764
3,2.0,"[(6853, 3, 1839), (6853, 3, 651), (6853, 3, 1321)]","[2, 2]","(6853, 11, 8038)",6.491535,1,"[6.217754, 6.310338]",6.2640457
3,2.0,"[(6437, 3, 1493), (6437, 3, 651), (6437, 3, 37)]","[2, 2]","(6437, 11, 8038)",6.6256256,1,"[6.3732233, 6.1708307]",6.272027
3,1.0,"[(5517, 3, 1123), (5517, 2, 1323), (5517, 3, 1005)]","[1, 1]","(5517, 9, 7903)",9.563314,1,"[9.192799, 9.270857]",9.231828
3,2.5,"[(5675, 3, 1839), (5675, 3, 1493), (5675, 3, 651)]","[2, 3]","(5675, 11, 8038)",7.0910316,2,"[6.696971, 6.938048]",6.8175097
3,1.0,"[(6566, 2, 486), (6566, 3, 489), (6566, 3, 1687)]","[1, 1]","(6566, 9, 7758)",8.5208435,1,"[8.109713, 8.853278]",8.481495
3,1.0,"[(6619, 3, 816), (6619, 3, 149), (6619, 3, 148)]","[1, 1]","(6619, 11, 6729)",7.5059404,1,"[6.8259506, 6.9220686]",6.8740096
