prediction,original_rank,facts,#facts,new_scores,original_score,new_score,new_ranks,new_rank
"(5558, 11, 7956)",5,"[(5558, 3, 40), (5558, 3, 9), (5558, 3, 39)]",3,"[2.7526667, 3.8917227]",4.1423807,3.3221946,"[1, 1]",1.0
"(4870, 8, 7410)",2,"[(4870, 3, 7), (4870, 3, 40), (4870, 3, 20)]",3,"[2.248722, 2.3572955]",5.1274643,2.3030088,"[1, 1]",1.0
"(5073, 11, 7956)",5,"[(5073, 3, 149), (5073, 3, 39), (5073, 3, 731)]",3,"[2.3408217, 3.6379855]",3.7088525,2.9894037,"[1, 1]",1.0
"(7125, 10, 7830)",5,"[(7125, 4, 66), (7125, 2, 68), (7125, 3, 39)]",3,"[2.8086712, 2.9986858]",4.007418,2.9036784,"[1, 1]",1.0
"(5269, 10, 7830)",5,"[(5269, 3, 5273), (5269, 3, 1969), (5269, 3, 663)]",3,"[3.0812893, 2.9613607]",3.974818,3.021325,"[1, 1]",1.0
"(6383, 10, 7830)",4,"[(6383, 2, 68), (6383, 2, 728), (6383, 3, 7)]",3,"[2.657572, 2.9503682]",2.8969355,2.80397,"[1, 1]",1.0
"(5380, 10, 7830)",2,"[(5380, 2, 172), (5380, 2, 728), (5380, 4, 66)]",3,"[2.7114894, 2.8985891]",2.6694508,2.8050394,"[1, 1]",1.0
"(5620, 8, 7410)",1,"[(5620, 3, 39), (5620, 3, 237), (5620, 3, 3392)]",3,"[2.1757374, 2.3519466]",4.018502,2.263842,"[1, 1]",1.0
"(6812, 11, 7869)",3,"[(6812, 4, 66), (6812, 3, 7), (6812, 3, 10)]",3,"[2.8477592, 3.717329]",3.5179758,3.2825441,"[3, 1]",2.0
"(6115, 8, 7566)",1,"[(6115, 3, 9), (6115, 3, 6), (6115, 3, 39)]",3,"[2.2831273, 2.4668136]",4.404839,2.3749704,"[7, 5]",6.0
"(4952, 8, 7410)",2,"[(4952, 3, 38), (4952, 3, 75), (4952, 3, 36)]",3,"[2.2985387, 2.4889863]",5.8348927,2.3937626,"[1, 1]",1.0
"(6966, 10, 8697)",4,"[(6966, 2, 31), (6966, 2, 30), (6966, 2, 68)]",3,"[4.759655, 4.8679967]",3.447898,4.8138256,"[1, 1]",1.0
"(5279, 8, 7429)",1,"[(5279, 4, 66), (5279, 2, 69), (5279, 3, 40)]",3,"[2.618198, 2.5475855]",4.3664303,2.5828917,"[1, 2]",1.5
"(6619, 8, 7410)",3,"[(6619, 3, 149), (6619, 3, 694), (6619, 3, 816)]",3,"[2.3076727, 2.431421]",4.519601,2.369547,"[1, 1]",1.0
"(5498, 10, 7830)",5,"[(5498, 4, 66), (5498, 1, 65), (5498, 2, 30)]",3,"[2.6793025, 2.995574]",3.2503138,2.837438,"[1, 1]",1.0
"(5586, 12, 4492)",2,"[(5586, 1, 65), (5586, 3, 506), (5586, 3, 7)]",3,"[4.5733314, 3.5979564]",3.338922,4.085644,"[2, 2]",2.0
"(7335, 8, 7429)",7,"[(7335, 4, 66), (7335, 3, 7), (7335, 2, 31)]",3,"[2.1939363, 2.4908776]",5.230544,2.342407,"[1, 1]",1.0
"(5645, 10, 7830)",5,"[(5645, 2, 31), (5645, 1, 65), (5645, 2, 30)]",3,"[2.7384129, 2.9422426]",3.5500622,2.8403277,"[1, 1]",1.0
"(7058, 8, 7566)",1,"[(7058, 3, 427), (7058, 3, 192), (7058, 3, 39)]",3,"[2.653548, 2.611117]",5.7202277,2.6323323,"[7, 4]",5.5
"(6914, 11, 7869)",3,"[(6914, 4, 66), (6914, 3, 33), (6914, 3, 55)]",3,"[2.7757866, 3.6954176]",3.5952108,3.2356021,"[2, 1]",1.5
"(6492, 8, 7410)",4,"[(6492, 2, 68), (6492, 3, 41), (6492, 3, 40)]",3,"[2.278431, 2.4835975]",5.323513,2.3810143,"[1, 1]",1.0
"(6587, 9, 8151)",36,"[(6587, 3, 78), (6587, 3, 10), (6587, 2, 31)]",3,"[3.6051059, 3.7629616]",3.5309901,3.6840339,"[3, 4]",3.5
"(5717, 10, 7830)",5,"[(5717, 2, 31), (5717, 2, 68), (5717, 3, 6)]",3,"[2.6601226, 2.9877048]",3.39451,2.8239136,"[1, 1]",1.0
"(5498, 8, 7429)",1,"[(5498, 4, 66), (5498, 1, 65), (5498, 2, 789)]",3,"[2.1797738, 2.45641]",4.6961765,2.3180919,"[1, 2]",1.5
"(6195, 8, 7566)",3,"[(6195, 4, 66), (6195, 3, 731), (6195, 3, 9)]",3,"[2.4448767, 2.5271587]",5.671821,2.4860177,"[9, 5]",7.0
"(4952, 8, 7567)",2,"[(4952, 3, 38), (4952, 3, 75), (4952, 1, 941)]",3,"[2.4961298, 2.678069]",5.7716856,2.5870996,"[4, 4]",4.0
"(7655, 10, 7830)",5,"[(7655, 3, 40), (7655, 3, 479), (7655, 3, 9)]",3,"[2.8169951, 3.0318613]",3.4012923,2.9244282,"[1, 1]",1.0
"(6812, 8, 7410)",3,"[(6812, 4, 66), (6812, 3, 7), (6812, 3, 174)]",3,"[2.3755064, 2.4152]",5.3270907,2.3953533,"[1, 1]",1.0
"(5756, 8, 7408)",2,"[(5756, 4, 924), (5756, 3, 37), (5756, 3, 75)]",3,"[2.588234, 2.702559]",5.3250837,2.6453965,"[4, 6]",5.0
"(7788, 10, 7830)",3,"[(7788, 2, 68), (7788, 3, 10), (7788, 3, 40)]",3,"[2.5752282, 2.8320527]",2.5668676,2.7036405,"[1, 1]",1.0
"(5920, 10, 7830)",5,"[(5920, 2, 69), (5920, 2, 30), (5920, 3, 10)]",3,"[2.6769018, 3.014808]",3.567545,2.8458548,"[1, 1]",1.0
"(7107, 11, 7869)",1,"[(7107, 2, 31), (7107, 2, 1323), (7107, 2, 30)]",3,"[2.5019228, 3.576734]",2.672183,3.0393286,"[3, 1]",2.0
"(7756, 10, 7830)",5,"[(7756, 3, 40), (7756, 3, 6), (7756, 3, 149)]",3,"[2.8580942, 3.1394334]",2.9227967,2.9987638,"[1, 1]",1.0
"(6320, 11, 7956)",2,"[(6320, 2, 31), (6320, 2, 69), (6320, 2, 68)]",3,"[2.1588545, 3.5614636]",2.8491967,2.860159,"[1, 1]",1.0
"(5822, 11, 7956)",1,"[(5822, 4, 66), (5822, 2, 68), (5822, 2, 29)]",3,"[2.2509499, 3.459698]",2.6253808,2.8553238,"[1, 1]",1.0
"(5279, 11, 7956)",1,"[(5279, 4, 66), (5279, 2, 69), (5279, 2, 4111)]",3,"[2.4937694, 3.523941]",3.3306432,3.0088553,"[1, 1]",1.0
"(7125, 11, 7956)",3,"[(7125, 4, 66), (7125, 2, 172), (7125, 2, 68)]",3,"[2.3539686, 3.6075127]",3.6683598,2.9807405,"[1, 1]",1.0
"(4870, 8, 7567)",2,"[(4870, 3, 7), (4870, 3, 40), (4870, 1, 864)]",3,"[2.4177763, 2.5733616]",5.0585365,2.495569,"[4, 4]",4.0
"(5517, 10, 7830)",5,"[(5517, 3, 7), (5517, 3, 39), (5517, 3, 10)]",3,"[2.8040833, 2.9268537]",3.568142,2.8654685,"[1, 1]",1.0
"(6213, 10, 7830)",5,"[(6213, 2, 31), (6213, 2, 266), (6213, 3, 1839)]",3,"[2.6528666, 2.8825436]",3.2811787,2.767705,"[1, 1]",1.0
"(6373, 11, 7869)",2,"[(6373, 3, 10), (6373, 3, 115), (6373, 3, 41)]",3,"[2.588986, 3.941805]",3.463342,3.2653954,"[3, 1]",2.0
"(6966, 10, 7830)",4,"[(6966, 3, 185), (6966, 3, 78), (6966, 3, 4)]",3,"[2.7815504, 3.0843115]",3.772318,2.932931,"[1, 1]",1.0
"(7450, 11, 7956)",1,"[(7450, 8, 7429), (7450, 1, 65), (7450, 2, 70)]",3,"[2.1841207, 3.5529766]",2.4277787,2.8685486,"[1, 1]",1.0
"(5907, 11, 7956)",7,"[(5907, 4, 66), (5907, 3, 177), (5907, 3, 712)]",3,"[2.6742315, 3.7249746]",3.9130654,3.199603,"[1, 1]",1.0
"(7177, 10, 7830)",5,"[(7177, 3, 100), (7177, 3, 79), (7177, 3, 149)]",3,"[2.832001, 3.0550363]",3.7173736,2.9435186,"[1, 1]",1.0
"(7335, 8, 7410)",2,"[(7335, 4, 66), (7335, 2, 31), (7335, 3, 7)]",3,"[2.1964006, 2.4686158]",5.0394883,2.332508,"[1, 1]",1.0
"(5645, 8, 7429)",6,"[(5645, 2, 31), (5645, 2, 30), (5645, 3, 10)]",3,"[2.2299254, 2.4879923]",4.9103956,2.3589587,"[2, 2]",2.0
"(6966, 11, 7956)",3,"[(6966, 3, 20), (6966, 3, 7), (6966, 3, 185)]",3,"[2.3626776, 3.7188697]",3.4898267,3.0407736,"[1, 1]",1.0
"(6900, 8, 7566)",1,"[(6900, 4, 906), (6900, 3, 10), (6900, 3, 9)]",3,"[2.8208177, 2.7566442]",5.7092123,2.788731,"[5, 4]",4.5
"(7065, 10, 7830)",5,"[(7065, 3, 192), (7065, 3, 39), (7065, 3, 149)]",3,"[2.6637554, 2.936054]",3.4794037,2.7999048,"[1, 1]",1.0
"(5533, 8, 7429)",1,"[(5533, 1, 1054), (5533, 2, 30), (5533, 3, 75)]",3,"[2.4556646, 2.4813619]",4.629287,2.4685133,"[1, 1]",1.0
"(5907, 8, 7566)",1,"[(5907, 4, 66), (5907, 3, 177), (5907, 3, 75)]",3,"[2.5918918, 2.693338]",5.352762,2.6426148,"[4, 3]",3.5
"(7125, 11, 7869)",3,"[(7125, 4, 66), (7125, 2, 172), (7125, 2, 1813)]",3,"[2.6532812, 3.696218]",3.5670092,3.1747496,"[2, 1]",1.5
"(6394, 8, 7427)",1,"[(6394, 4, 66), (6394, 2, 266), (6394, 3, 6)]",3,"[2.2186625, 2.3999734]",3.8982012,2.309318,"[2, 2]",2.0
"(7426, 11, 7956)",3,"[(7426, 3, 39), (7426, 3, 41), (7426, 3, 40)]",3,"[2.7196255, 3.8952081]",3.2648082,3.307417,"[1, 1]",1.0
"(7655, 11, 7956)",3,"[(7655, 3, 9), (7655, 3, 39), (7655, 3, 40)]",3,"[2.3154674, 3.6329238]",2.9549463,2.9741955,"[1, 1]",1.0
"(5770, 8, 7410)",3,"[(5770, 3, 7), (5770, 3, 41), (5770, 1, 65)]",3,"[2.1845245, 2.4887428]",5.424654,2.3366337,"[1, 1]",1.0
"(6504, 10, 7830)",5,"[(6504, 3, 9), (6504, 3, 1969), (6504, 3, 663)]",3,"[2.742344, 3.0727963]",3.9476411,2.9075701,"[1, 1]",1.0
"(6492, 8, 7393)",5,"[(6492, 2, 68), (6492, 3, 7), (6492, 3, 41)]",3,"[2.3123548, 2.5579388]",5.3959875,2.4351468,"[2, 4]",3.0
"(6383, 11, 7956)",2,"[(6383, 2, 68), (6383, 2, 728), (6383, 3, 7)]",3,"[2.2196922, 3.5011344]",2.6421046,2.8604133,"[1, 1]",1.0
"(5558, 8, 7410)",4,"[(5558, 4, 169), (5558, 3, 40), (5558, 3, 9)]",3,"[2.6036, 2.591848]",5.885943,2.597724,"[1, 1]",1.0
"(7628, 12, 8676)",3,"[(7628, 3, 177), (7628, 3, 279), (7628, 3, 892)]",3,"[4.39316, 3.5567367]",2.6512852,3.9749484,"[1, 1]",1.0
"(6205, 10, 7830)",5,"[(6205, 3, 6210), (6205, 3, 1237), (6205, 3, 1063)]",3,"[2.821545, 2.9819825]",3.9084363,2.9017637,"[1, 1]",1.0
"(7201, 8, 7410)",2,"[(7201, 5, 7202), (7201, 3, 6), (7201, 2, 31)]",3,"[2.2123628, 2.4349499]",4.1836443,2.3236563,"[1, 1]",1.0
"(4952, 11, 7869)",3,"[(4952, 2, 31), (4952, 3, 36), (4952, 3, 176)]",3,"[2.628847, 3.6688013]",3.7838056,3.1488242,"[3, 1]",2.0
