prediction,new_score,new_rank,original_score,new_ranks,facts,exp,original_rank,new_scores,exp_length
"(5834, 11, 6729)",6.0734067,5.0,6.3059583,[5],[],[],2,[6.0734067],0
"(5133, 9, 10166)",6.702554,1.0,6.655379,[1],[],[],1,[6.702554],0
"(5907, 9, 6144)",6.369766,2.0,6.9573603,[2],[],[],2,[6.369766],0
"(6504, 11, 7992)",6.4097176,1.0,6.168879,[1],[],[],1,[6.4097176],0
"(5411, 11, 8097)",7.083996,1.0,7.0618706,[1],[],[],1,[7.083996],0
"(6766, 11, 7992)",6.590835,1.0,6.3387327,[1],[],[],1,[6.590835],0
"(7392, 9, 7790)",9.687794,1.0,9.634243,[1],[],[],1,[9.687794],0
"(7281, 11, 7992)",5.7218885,1.0,6.138865,[1],[],[],1,[5.7218885],0
"(6083, 9, 8418)",8.814265,1.0,8.809921,[1],[],[],1,[8.814265],0
"(7080, 9, 6144)",6.525854,1.0,6.4506083,[1],[],[],1,[6.525854],0
"(4777, 9, 6144)",7.5282083,1.0,7.26068,[1],[],[],1,[7.5282083],0
"(7407, 11, 7869)",7.2683215,2.0,7.057395,[2],[],[],1,[7.2683215],0
"(6300, 9, 8151)",8.384914,1.0,8.371053,[1],[],[],2,[8.384914],0
"(7125, 11, 7869)",5.5944567,2.0,5.6012373,[2],[],[],2,[5.5944567],0
"(4978, 11, 90)",8.134858,1.0,7.456912,[1],[],[],1,[8.134858],0
"(7426, 11, 8038)",6.5104856,1.0,6.6888194,[1],[],[],1,[6.5104856],0
"(6394, 9, 3917)",7.742645,1.0,8.089542,[1],[],[],1,[7.742645],0
"(7868, 11, 6729)",6.9166226,2.0,7.079462,[2],[],[],1,[6.9166226],0
"(6115, 11, 6729)",7.051869,1.0,7.6898937,[1],[],[],1,[7.051869],0
"(6263, 9, 9452)",6.812418,2.0,7.2706003,[2],[],[],1,[6.812418],0
"(5834, 9, 1470)",8.915864,1.0,8.630572,[1],[],[],1,[8.915864],0
"(7610, 9, 7903)",9.28677,1.0,9.556608,[1],[],[],1,[9.28677],0
"(7628, 12, 8676)",8.132223,2.0,8.142027,[2],[],[],2,[8.132223],0
"(6766, 9, 11980)",9.38756,1.0,8.600188,[1],[],[],1,[9.38756],0
"(5067, 11, 7984)",5.4186587,1.0,5.666048,[1],[],[],1,[5.4186587],0
"(5200, 11, 7869)",6.812026,2.0,6.3907385,[2],[],[],2,[6.812026],0
"(6419, 9, 8339)",6.4353023,1.0,6.532011,[1],[],[],1,[6.4353023],0
"(5305, 12, 9444)",8.103144,1.0,7.808302,[1],[],[],1,[8.103144],0
"(4952, 11, 7869)",5.7840996,1.0,5.530306,[1],[],[],1,[5.7840996],0
