new_ranks,new_scores,new_rank,original_rank,original_score,#facts,new_score,prediction,facts
"[3, 1]","[2.1629257, 2.5671132]",2.0,3,4.519601,1,2.3650193,"(6619, 8, 7410)","[(6619, 3, 1872)]"
"[1, 1]","[2.7770991, 3.1202874]",1.0,5,3.2503138,1,2.9486933,"(5498, 10, 7830)","[(5498, 3, 185)]"
"[2, 2]","[4.8130817, 3.6562967]",2.0,2,3.338922,1,4.234689,"(5586, 12, 4492)","[(5586, 3, 88)]"
"[1, 2]","[2.0205855, 2.6110651]",1.5,7,5.230544,2,2.3158255,"(7335, 8, 7429)","[(7335, 3, 7346), (7335, 3, 6183)]"
"[1, 1]","[2.847457, 3.074973]",1.0,5,3.5500622,1,2.961215,"(5645, 10, 7830)","[(5645, 3, 1200)]"
"[7, 6]","[2.2588153, 2.6929774]",6.5,1,5.7202277,1,2.4758964,"(7058, 8, 7566)","[(7058, 2, 132)]"
"[1, 1]","[2.4289272, 3.530684]",1.0,3,3.5952108,1,2.9798055,"(6914, 11, 7869)","[(6914, 3, 35)]"
"[2, 1]","[2.0527434, 2.5498867]",1.5,4,5.323513,1,2.301315,"(6492, 8, 7410)","[(6492, 3, 6493)]"
"[1, 4]","[3.3574038, 3.7659705]",2.5,36,3.5309901,1,3.561687,"(6587, 9, 8151)","[(6587, 3, 78)]"
"[1, 1]","[2.802299, 2.9980288]",1.0,5,3.39451,1,2.900164,"(5717, 10, 7830)","[(5717, 3, 192)]"
"[1, 4]","[1.9961557, 2.6140108]",2.5,1,4.6961765,4,2.3050833,"(5498, 8, 7429)","[(5498, 3, 243), (5498, 3, 731), (5498, 3, 1024), (5498, 3, 78)]"
"[8, 7]","[2.278786, 2.6252677]",7.5,3,5.671821,1,2.4520268,"(6195, 8, 7566)","[(6195, 3, 39)]"
"[4, 3]","[2.3092349, 2.68257]",3.5,2,5.7716856,2,2.4959025,"(4952, 8, 7567)","[(4952, 3, 706), (4952, 3, 175)]"
"[1, 1]","[2.9142787, 3.1298466]",1.0,5,3.4012923,3,3.0220628,"(7655, 10, 7830)","[(7655, 3, 476), (7655, 3, 2132), (7655, 3, 7660)]"
"[2, 1]","[2.1734314, 2.464521]",1.5,3,5.3270907,1,2.3189762,"(6812, 8, 7410)","[(6812, 3, 6661)]"
"[3, 4]","[2.606442, 2.7450614]",3.5,2,5.3250837,1,2.6757517,"(5756, 8, 7408)","[(5756, 3, 462)]"
"[1, 1]","[2.7357888, 2.9639158]",1.0,3,2.5668676,1,2.8498523,"(7788, 10, 7830)","[(7788, 3, 9)]"
"[1, 1]","[2.874333, 3.0235727]",1.0,5,3.567545,1,2.9489527,"(5920, 10, 7830)","[(5920, 3, 593)]"
"[1, 1]","[2.375112, 3.5366852]",1.0,1,2.672183,1,2.9558988,"(7107, 11, 7869)","[(7107, 3, 40)]"
"[1, 1]","[2.9972854, 3.0971282]",1.0,5,2.9227967,2,3.0472069,"(7756, 10, 7830)","[(7756, 8, 7429), (7756, 3, 92)]"
"[1, 1]","[2.3184457, 3.51339]",1.0,2,2.8491967,1,2.9159179,"(6320, 11, 7956)","[(6320, 3, 40)]"
"[1, 1]","[2.2264771, 3.4325252]",1.0,1,2.6253808,1,2.8295012,"(5822, 11, 7956)","[(5822, 3, 476)]"
"[1, 1]","[2.3775356, 3.5907578]",1.0,1,3.3306432,1,2.9841466,"(5279, 11, 7956)","[(5279, 3, 2459)]"
"[1, 1]","[2.3879182, 3.5259953]",1.0,3,3.6683598,1,2.9569569,"(7125, 11, 7956)","[(7125, 3, 9)]"
"[4, 3]","[2.2531242, 2.6727972]",3.5,2,5.0585365,1,2.4629607,"(4870, 8, 7567)","[(4870, 2, 30)]"
