original_score,new_rank,new_ranks,original_rank,exp_length,prediction,new_score,new_scores,facts,exp
6.992312,1.0,[1],1,3,"(7655, 11, 8038)",6.6585665,[6.6585665],"[({(7655, 8, 7427)}, -0.7465728855842205, 'baseline'), ({(7655, 2, 68)}, -0.753010693420466, 'baseline'), ({(7655, 2, 31)}, -0.7917619026684578, 'baseline'), ({(7655, 3, 39)}, -1.069716877351237, 'baseline'), ({(7655, 3, 40)}, -1.0869933123442044, 'baseline'), ({(7655, 3, 9)}, -1.0891942857706503, 'baseline'), ({(7655, 3, 10)}, -1.1004059463850293, 'baseline'), ({(7655, 3, 479)}, -1.150796769198577, 'baseline'), ({(7655, 3, 220)}, -1.1880744820025768, 'baseline'), ({(7655, 3, 476)}, -1.2316321442055853, 'baseline')]","[(7655, 8, 7427), (24904, 11, 8038), (24904, 8, 7427)]"
7.1088166,9.0,[9],1,3,"(6812, 12, 13960)",5.4959106,[5.4959106],"[({(6812, 5, 6813)}, -0.711344422710022, 'baseline'), ({(6812, 3, 6815)}, -0.9210978137254431, 'baseline'), ({(6812, 3, 6818)}, -0.9402943950414209, 'baseline'), ({(6812, 3, 1870)}, -1.3178689089345514, 'baseline'), ({(6812, 2, 172)}, -1.3453032119437873, 'baseline'), ({(6812, 3, 1)}, -1.37673254523145, 'baseline'), ({(6812, 2, 1813)}, -1.404544993751671, 'baseline'), ({(6812, 3, 6817)}, -1.4426524338439664, 'baseline'), ({(6812, 3, 694)}, -1.501148309312741, 'baseline'), ({(6812, 3, 294)}, -1.577577998852282, 'baseline')]","[(22481, 5, 6813), (6812, 5, 6813), (22481, 12, 13960)]"
6.9315023,2.0,[2],1,2,"(5218, 9, 11980)",6.1787696,[6.1787696],"[({(5218, 2, 2083)}, -0.2924587549210458, 'baseline'), ({(5218, 2, 2082)}, -0.45607426285883246, 'baseline'), ({(5218, 3, 2085)}, -0.7034789574882118, 'baseline'), ({(5218, 3, 1728)}, -0.9189026974875278, 'baseline'), ({(5218, 3, 2084)}, -0.9719294449052089, 'baseline'), ({(5218, 3, 3675)}, -0.9728227295471091, 'baseline'), ({(5218, 3, 2092)}, -1.0493306765967503, 'baseline'), ({(5218, 3, 5229)}, -1.1391161710837372, 'baseline'), ({(5218, 3, 4026)}, -1.3634977149528293, 'baseline'), ({(5218, 2, 68)}, -1.5601807645952432, 'baseline')]","[(5218, 2, 2083), (11980, 2, 2083)]"
8.511835,1.0,[1],1,3,"(7236, 9, 7903)",8.402969,[8.402969],"[({(7236, 2, 1188)}, -0.42846824408303613, 'baseline'), ({(7236, 3, 418)}, -0.8116612331791084, 'baseline'), ({(7236, 2, 31)}, -0.9214373739404712, 'baseline'), ({(7236, 3, 2218)}, -0.9998035883357137, 'baseline'), ({(7236, 3, 40)}, -1.1545533944767898, 'baseline'), ({(7236, 3, 39)}, -1.2305389545301233, 'baseline'), ({(7236, 2, 266)}, -1.2487526255168688, 'baseline'), ({(7236, 3, 88)}, -1.273068839528527, 'baseline'), ({(7236, 3, 220)}, -1.2745148142959952, 'baseline'), ({(7236, 3, 149)}, -1.2871320305140088, 'baseline')]","[(22636, 2, 1188), (22636, 9, 7903), (7236, 2, 1188)]"
6.1215763,1.0,[1],2,3,"(5756, 11, 7869)",6.022132,[6.022132],"[({(5756, 4, 924)}, -0.6394166869706283, 'baseline'), ({(5756, 2, 30)}, -0.6944813823597885, 'baseline'), ({(5756, 2, 31)}, -0.721119359381355, 'baseline'), ({(5756, 3, 6)}, -0.9628374496958229, 'baseline'), ({(5756, 1, 864)}, -0.9869380710947815, 'baseline'), ({(5756, 2, 172)}, -1.0890348287702125, 'baseline'), ({(5756, 3, 75)}, -1.215176107385709, 'baseline'), ({(5756, 3, 651)}, -1.5399779515519703, 'baseline'), ({(5756, 3, 37)}, -1.550506817712371, 'baseline'), ({(5756, 3, 706)}, -1.8242267418073341, 'baseline')]","[(17502, 4, 924), (5756, 4, 924), (17502, 11, 7869)]"
7.2348595,1.0,[1],1,3,"(6419, 9, 7991)",6.8188896,[6.8188896],"[({(6419, 2, 729)}, -0.8442651272660632, 'baseline'), ({(6419, 3, 506)}, -1.0416123486046436, 'baseline'), ({(6419, 3, 1348)}, -1.1682145741680667, 'baseline'), ({(6419, 3, 1823)}, -1.2224113851738005, 'baseline'), ({(6419, 3, 755)}, -1.2525471292926995, 'baseline'), ({(6419, 2, 1813)}, -1.327456325932399, 'baseline'), ({(6419, 2, 31)}, -1.3935652181390599, 'baseline'), ({(6419, 3, 756)}, -1.4173586367595514, 'baseline'), ({(6419, 3, 6425)}, -1.4251726231447435, 'baseline'), ({(6419, 3, 2416)}, -1.5020603564680661, 'baseline')]","[(13923, 9, 7991), (13923, 2, 729), (6419, 2, 729)]"
9.2064905,1.0,[1],1,3,"(6323, 9, 8418)",9.641853,[9.641853],"[({(6323, 2, 70)}, -0.4571407762032854, 'baseline'), ({(6323, 3, 2638)}, -0.6265286145790375, 'baseline'), ({(6323, 3, 111)}, -0.6357132361456248, 'baseline'), ({(6323, 2, 68)}, -0.8371132738107995, 'baseline'), ({(6323, 2, 31)}, -0.8607618879892791, 'baseline'), ({(6323, 3, 39)}, -0.9653235926596171, 'baseline'), ({(6323, 3, 78)}, -1.0258727998910844, 'baseline'), ({(6323, 3, 9)}, -1.0457988115987353, 'baseline'), ({(6323, 3, 85)}, -1.0914889133464127, 'baseline'), ({(6323, 3, 75)}, -1.117269308560431, 'baseline')]","[(23769, 2, 70), (6323, 2, 70), (23769, 9, 8418)]"
9.047374,1.0,[1],1,3,"(6885, 9, 1470)",8.350563,[8.350563],"[({(6885, 2, 1166)}, -0.2723058094239322, 'baseline'), ({(6885, 1, 65)}, -0.6815665258191563, 'baseline'), ({(6885, 3, 516)}, -0.7173482201130773, 'baseline'), ({(6885, 3, 1842)}, -0.7944054849806698, 'baseline'), ({(6885, 4, 924)}, -0.883238267671769, 'baseline'), ({(6885, 3, 2099)}, -0.9318460555049272, 'baseline'), ({(6885, 2, 68)}, -1.1116604444553555, 'baseline'), ({(6885, 3, 2185)}, -1.2473520395859736, 'baseline'), ({(6885, 3, 40)}, -1.2499945629808669, 'baseline'), ({(6885, 3, 39)}, -1.3761637192675646, 'baseline')]","[(6885, 2, 1166), (24435, 9, 1470), (24435, 2, 1166)]"
9.176466,1.0,[1],1,3,"(5770, 9, 1470)",9.594757,[9.594757],"[({(5770, 2, 789)}, -0.45719099123578477, 'baseline'), ({(5770, 1, 65)}, -0.6815686775393706, 'baseline'), ({(5770, 2, 30)}, -1.002183886266409, 'baseline'), ({(5770, 2, 28)}, -1.0821066487478117, 'baseline'), ({(5770, 3, 517)}, -1.1969754166439328, 'baseline'), ({(5770, 3, 40)}, -1.249997278080217, 'baseline'), ({(5770, 3, 46)}, -1.2803750413595671, 'baseline'), ({(5770, 3, 35)}, -1.3057370751103037, 'baseline'), ({(5770, 3, 34)}, -1.3170904744362617, 'baseline'), ({(5770, 3, 75)}, -1.3182525532472398, 'baseline')]","[(5770, 2, 789), (13201, 9, 1470), (13201, 2, 789)]"
6.8954225,2.0,[2],1,3,"(5575, 11, 8038)",6.2167783,[6.2167783],"[({(5575, 4, 66)}, -0.5188720240433359, 'baseline'), ({(5575, 2, 68)}, -0.7530128527460099, 'baseline'), ({(5575, 2, 30)}, -0.774012091669546, 'baseline'), ({(5575, 1, 2467)}, -0.9888651501897768, 'baseline'), ({(5575, 3, 651)}, -1.1958651493883357, 'baseline'), ({(5575, 3, 75)}, -1.2825001104451752, 'baseline'), ({(5575, 2, 27)}, -1.3961504346340339, 'baseline'), ({(5575, 3, 100)}, -1.755991398421248, 'baseline'), ({(5575, 5, 5576)}, -1.8095956681568348, 'baseline'), ({(5575, 3, 954)}, -1.8182049846995165, 'baseline')]","[(25545, 11, 8038), (25545, 4, 66), (5575, 4, 66)]"
5.6155605,1.0,[1],1,3,"(5067, 11, 7992)",5.7628765,[5.7628765],"[({(5067, 2, 68)}, -0.7732792773875228, 'baseline'), ({(5067, 2, 30)}, -0.8304191519036629, 'baseline'), ({(5067, 3, 9)}, -0.9950895963844801, 'baseline'), ({(5067, 3, 10)}, -1.0430350169620892, 'baseline'), ({(5067, 3, 40)}, -1.0984138451434504, 'baseline'), ({(5067, 3, 39)}, -1.1233010293407772, 'baseline'), ({(5067, 3, 6)}, -1.1762860017685568, 'baseline'), ({(5067, 2, 27)}, -1.3737009520285546, 'baseline'), ({(5067, 2, 29)}, -1.4408522336133287, 'baseline'), ({(5067, 3, 41)}, -1.5073803478578318, 'baseline')]","[(25411, 2, 68), (5067, 2, 68), (25411, 11, 7992)]"
6.96239,1.0,[1],2,2,"(5645, 9, 11980)",7.2513056,[7.2513056],"[({(5645, 2, 2083)}, -0.29245679353372156, 'baseline'), ({(5645, 2, 2082)}, -0.45607426285883246, 'baseline'), ({(5645, 3, 2085)}, -0.7034789574882118, 'baseline'), ({(5645, 3, 630)}, -0.7748930639798683, 'baseline'), ({(5645, 3, 5661)}, -1.0992430547817311, 'baseline'), ({(5645, 3, 5648)}, -1.1020254953053719, 'baseline'), ({(5645, 1, 65)}, -1.2261566482801873, 'baseline'), ({(5645, 3, 4028)}, -1.3344132432800357, 'baseline'), ({(5645, 4, 66)}, -1.5161934996654465, 'baseline'), ({(5645, 3, 78)}, -1.5593334737511753, 'baseline')]","[(5645, 2, 2083), (11980, 2, 2083)]"
8.398114,2.0,[2],2,3,"(7628, 12, 4492)",8.382302,[8.382302],"[({(7628, 4, 66)}, -0.5238760121507328, 'baseline'), ({(7628, 3, 279)}, -0.5981800497612719, 'baseline'), ({(7628, 3, 149)}, -0.6387966452756827, 'baseline'), ({(7628, 2, 30)}, -0.6504405378396573, 'baseline'), ({(7628, 2, 31)}, -0.6715513261087444, 'baseline'), ({(7628, 3, 88)}, -0.6750986480478718, 'baseline'), ({(7628, 3, 40)}, -0.6834353045231993, 'baseline'), ({(7628, 1, 1054)}, -0.7142086056324474, 'baseline'), ({(7628, 3, 6)}, -0.7396658842583603, 'baseline'), ({(7628, 3, 7)}, -0.8507984559193784, 'baseline')]","[(23877, 4, 66), (7628, 4, 66), (23877, 12, 4492)]"
6.3391323,1.0,[1],1,2,"(5844, 11, 8038)",5.7615423,[5.7615423],"[({(5844, 2, 68)}, -0.7530128527460099, 'baseline'), ({(5844, 2, 30)}, -0.774012091669546, 'baseline'), ({(5844, 2, 31)}, -0.7917640930130195, 'baseline'), ({(5844, 3, 10)}, -1.100411017645778, 'baseline'), ({(5844, 3, 78)}, -1.123200642331679, 'baseline'), ({(5844, 3, 37)}, -1.2689383688422498, 'baseline'), ({(5844, 3, 75)}, -1.2825001104451752, 'baseline'), ({(5844, 3, 666)}, -1.294598346279543, 'baseline'), ({(5844, 3, 185)}, -1.4626010089141792, 'baseline'), ({(5844, 3, 276)}, -1.54725068111776, 'baseline')]","[(8038, 2, 68), (5844, 2, 68)]"
7.5643873,2.0,[2],2,2,"(6213, 11, 8038)",7.3724384,[7.3724384],"[({(6213, 2, 68)}, -0.753010693420466, 'baseline'), ({(6213, 2, 30)}, -0.774012091669546, 'baseline'), ({(6213, 2, 31)}, -0.7917619026684578, 'baseline'), ({(6213, 3, 39)}, -1.069716877351237, 'baseline'), ({(6213, 3, 10)}, -1.1004085087357123, 'baseline'), ({(6213, 3, 78)}, -1.123200642331679, 'baseline'), ({(6213, 3, 651)}, -1.1958624571663026, 'baseline'), ({(6213, 2, 729)}, -1.2469725202786237, 'baseline'), ({(6213, 3, 37)}, -1.2689356249014885, 'baseline'), ({(6213, 3, 75)}, -1.2825001104451752, 'baseline')]","[(6213, 2, 68), (8038, 2, 68)]"
8.558601,1.0,[1],1,3,"(7574, 12, 8644)",8.02569,[8.02569],"[({(7574, 5, 7575)}, -0.15488807008436803, 'baseline'), ({(7574, 3, 1148)}, -0.7404051269678591, 'baseline'), ({(7574, 3, 1149)}, -0.9071780618005684, 'baseline'), ({(7574, 3, 7581)}, -0.9728442801377063, 'baseline'), ({(7574, 3, 259)}, -1.3659249498398913, 'baseline'), ({(7574, 3, 1626)}, -1.4500934135353112, 'baseline'), ({(7574, 3, 78)}, -1.5243551259990127, 'baseline'), ({(7574, 3, 10)}, -1.5422265018953085, 'baseline'), ({(7574, 3, 37)}, -1.5664983690907912, 'baseline'), ({(7574, 3, 9)}, -1.576650472562578, 'baseline')]","[(8641, 5, 7575), (7574, 5, 7575), (8641, 12, 8644)]"
