original_rank,new_scores,original_score,new_rank,new_score,#facts,new_ranks,facts,prediction
1,"[5.7795515, 6.4666214]",6.491535,1.5,6.1230865,3,"[2, 1]","[(6853, 1, 65), (6853, 2, 68), (6853, 2, 30)]","(6853, 11, 8038)"
1,"[5.3607674, 5.743668]",6.6256256,1.5,5.5522175,3,"[2, 1]","[(6437, 2, 68), (6437, 2, 30), (6437, 1, 2467)]","(6437, 11, 8038)"
1,"[8.987013, 9.364321]",9.563314,1.0,9.175667,3,"[1, 1]","[(5517, 2, 1323), (5517, 3, 1005), (5517, 3, 1123)]","(5517, 9, 7903)"
2,"[6.1191077, 6.913568]",7.0910316,2.0,6.516338,3,"[3, 1]","[(5675, 2, 68), (5675, 2, 30), (5675, 3, 40)]","(5675, 11, 8038)"
1,"[7.590229, 7.431632]",8.5208435,1.0,7.5109305,3,"[1, 1]","[(6566, 2, 486), (6566, 2, 6567), (6566, 3, 489)]","(6566, 9, 7758)"
1,"[6.493167, 7.4509478]",7.5059404,1.0,6.9720573,3,"[1, 1]","[(6619, 2, 31), (6619, 2, 812), (6619, 2, 172)]","(6619, 11, 6729)"
2,"[4.8013954, 5.0425797]",5.655415,2.5,4.9219875,3,"[3, 2]","[(5781, 1, 65), (5781, 4, 66), (5781, 2, 31)]","(5781, 11, 6729)"
3,"[6.106661, 6.000505]",5.79963,1.0,6.053583,3,"[1, 1]","[(6976, 2, 68), (6976, 2, 31), (6976, 3, 9)]","(6976, 11, 7992)"
2,"[5.721325, 5.7035832]",6.3059583,2.0,5.712454,3,"[2, 2]","[(5834, 2, 31), (5834, 1, 1034), (5834, 3, 40)]","(5834, 11, 6729)"
1,"[6.4252405, 5.6585875]",6.655379,1.5,6.041914,3,"[1, 2]","[(5133, 2, 5135), (5133, 3, 4194), (5133, 5, 5134)]","(5133, 9, 10166)"
2,"[5.531465, 6.5074544]",6.9573603,1.5,6.0194597,3,"[2, 1]","[(5907, 2, 171), (5907, 2, 709), (5907, 4, 66)]","(5907, 9, 6144)"
