prediction,original_rank,new_rank,#facts,original_score,facts,new_scores,new_score,new_ranks
"(6812, 12, 13960)",1,14.0,6,7.1088166,"[([(22481, 3, 10), (6812, 3, 10), (22481, 12, 13960)], 1.1051002, 'xrule'), ([(22481, 12, 13960), (22481, 3, 1870), (6812, 3, 1870)], 1.0924001, 'xrule'), ([(6812, 3, 9), (22481, 12, 13960), (22481, 3, 9)], 1.0916004, 'xrule'), ([(6812, 3, 1870), (6812, 3, 6815), (6812, 3, 6818)], 0.5760536627961035, 'kelpie'), ([(6812, 3, 294), (6812, 3, 6815), (6812, 3, 6818)], 0.5245247315492286, 'kelpie'), ([(6812, 3, 6815), (6812, 3, 6818), (6812, 3, 6817)], 0.46321014809246963, 'kelpie')]","[4.508757, 4.199192]",4.3539743,"[9, 19]"
"(5218, 9, 11980)",1,8.5,6,6.9315023,"[([(5218, 2, 2083), (5218, 2, 2082), (5218, 3, 3675), (5218, 3, 2085)], 0.9504976770014293, 'kelpie'), ([(5218, 2, 2083), (5218, 2, 2082), (5218, 3, 1728), (5218, 3, 2085)], 0.9194593920424262, 'kelpie'), ([(5218, 2, 2083), (5218, 3, 3675), (5218, 3, 1728), (5218, 3, 2085)], 0.9164906038070811, 'kelpie'), ([(18965, 2, 2083), (18965, 9, 11980), (5218, 2, 2083)], 0.56550026, 'xrule'), ([(5218, 3, 2085), (18965, 3, 2085), (18965, 9, 11980)], 0.559, 'xrule'), ([(18965, 2, 2082), (5218, 2, 2082), (18965, 9, 11980)], 0.48690033, 'xrule')]","[4.941372, 3.4410086]",4.1911902,"[4, 13]"
"(7236, 9, 7903)",1,1.0,6,8.511835,"[([(7236, 3, 40), (7236, 2, 1188), (7236, 3, 2218), (7236, 3, 418)], 0.6186581097585229, 'kelpie'), ([(7236, 3, 40), (7236, 2, 1188), (7236, 3, 418), (7236, 3, 39)], 0.5860481697564429, 'kelpie'), ([(7236, 3, 40), (7236, 3, 220), (7236, 2, 1188), (7236, 3, 418)], 0.5794592338185427, 'kelpie'), ([(14237, 9, 7903), (14237, 3, 418), (7236, 3, 418)], 0.26390076, 'xrule'), ([(14237, 9, 7903), (14237, 2, 1188), (7236, 2, 1188)], 0.2538004, 'xrule'), ([(16337, 2, 1188), (16337, 9, 7903), (7236, 2, 1188)], 0.24590015, 'xrule')]","[7.230287, 7.8510866]",7.5406866,"[1, 1]"
"(5756, 11, 7869)",2,2.0,6,6.1215763,"[([(20946, 11, 7869), (20946, 2, 30), (5756, 2, 30)], 0.61310005, 'xrule'), ([(5756, 3, 75), (13995, 11, 7869), (13995, 3, 75)], 0.59959984, 'xrule'), ([(5756, 3, 6), (24457, 11, 7869), (24457, 3, 6)], 0.5937004, 'xrule'), ([(5756, 4, 924), (5756, 3, 5760), (5756, 3, 6), (5756, 2, 172)], 0.5297451447986153, 'kelpie'), ([(5756, 3, 462), (5756, 4, 924), (5756, 3, 5760), (5756, 3, 6)], 0.5193286369719453, 'kelpie'), ([(5756, 3, 462), (5756, 3, 5760), (5756, 3, 6), (5756, 2, 172)], 0.4941139645880715, 'kelpie')]","[5.4541173, 5.304908]",5.379513,"[2, 2]"
"(6419, 9, 7991)",1,6.5,6,7.2348595,"[([(6419, 3, 756), (6419, 3, 1823), (6419, 3, 506), (6419, 2, 729)], 0.6101651630342936, 'kelpie'), ([(6419, 3, 756), (6419, 3, 1823), (6419, 3, 506), (6419, 3, 1348)], 0.5957966287667245, 'kelpie'), ([(6419, 3, 756), (6419, 3, 1823), (6419, 3, 506), (6419, 3, 755)], 0.5870252090846527, 'kelpie'), ([(6419, 3, 1823), (11461, 3, 1823), (11461, 9, 7991)], 0.35149956, 'xrule'), ([(16014, 9, 7991), (6419, 3, 1823), (16014, 3, 1823)], 0.3164997, 'xrule'), ([(11461, 9, 7991), (6419, 3, 733), (11461, 3, 733)], 0.3135996, 'xrule')]","[4.3453217, 4.570074]",4.457698,"[6, 7]"
"(6323, 9, 8418)",1,1.0,6,9.2064905,"[([(6323, 3, 85), (6323, 3, 2638), (6323, 2, 70), (6323, 3, 111)], 0.6238546811608368, 'kelpie'), ([(6323, 3, 2638), (6323, 3, 1878), (6323, 2, 70), (6323, 3, 111)], 0.6043262919529635, 'kelpie'), ([(6323, 3, 2638), (6323, 2, 70), (6323, 3, 1902), (6323, 3, 111)], 0.5840435463294886, 'kelpie'), ([(14712, 9, 8418), (14712, 3, 111), (6323, 3, 111)], 0.13290024, 'xrule'), ([(13048, 9, 8418), (6323, 3, 111), (13048, 3, 111)], 0.13229942, 'xrule'), ([(6323, 3, 111), (14580, 3, 111), (14580, 9, 8418)], 0.13070011, 'xrule')]","[8.326937, 8.442353]",8.384645,"[1, 1]"
"(6885, 9, 1470)",1,1.0,6,9.047374,"[([(6885, 3, 516), (6885, 3, 2099), (6885, 3, 1842), (6885, 2, 1166)], 0.6747885197520589, 'kelpie'), ([(6885, 3, 2185), (6885, 3, 516), (6885, 3, 1842), (6885, 2, 1166)], 0.6417198623863799, 'kelpie'), ([(6885, 3, 516), (6885, 3, 40), (6885, 3, 1842), (6885, 2, 1166)], 0.6411552871860939, 'kelpie'), ([(6885, 2, 1166), (12340, 2, 1166), (12340, 9, 1470)], 0.21510029, 'xrule'), ([(6885, 3, 516), (12340, 3, 516), (12340, 9, 1470)], 0.2105999, 'xrule'), ([(6885, 2, 1166), (14626, 9, 1470), (14626, 2, 1166)], 0.19029999, 'xrule')]","[7.33683, 7.0406165]",7.1887236,"[1, 1]"
"(5770, 9, 1470)",1,1.0,6,9.176466,"[([(5770, 3, 75), (5770, 3, 517), (5770, 1, 65), (5770, 2, 789)], 0.3737039980416529, 'kelpie'), ([(5770, 3, 75), (5770, 1, 65), (5770, 2, 789), (5770, 3, 40)], 0.3660965379162857, 'kelpie'), ([(5770, 3, 46), (5770, 3, 75), (5770, 1, 65), (5770, 2, 789)], 0.3577566559647066, 'kelpie'), ([(5770, 2, 1166), (14803, 9, 1470), (14803, 2, 1166)], 0.16839981, 'xrule'), ([(5770, 2, 1166), (25424, 9, 1470), (25424, 2, 1166)], 0.14150047, 'xrule'), ([(8628, 2, 1166), (5770, 2, 1166), (8628, 9, 1470)], 0.12930012, 'xrule')]","[8.266159, 8.178183]",8.222171,"[1, 1]"
"(5575, 11, 8038)",1,1.5,6,6.8954225,"[([(25429, 11, 8038), (25429, 4, 66), (5575, 4, 66)], 0.8323002, 'xrule'), ([(5575, 3, 75), (10332, 11, 8038), (10332, 3, 75)], 0.8154001, 'xrule'), ([(5575, 3, 651), (5575, 2, 68), (5575, 3, 953), (5575, 3, 954)], 0.6319628203017968, 'kelpie'), ([(5575, 3, 651), (5575, 2, 68), (5575, 2, 30), (5575, 3, 954)], 0.6157331905906561, 'kelpie'), ([(5575, 3, 651), (5575, 2, 30), (5575, 3, 953), (5575, 3, 954)], 0.6138029537625808, 'kelpie'), ([(20908, 3, 725), (20908, 11, 8038), (5575, 3, 725)], 0.57750034, 'xrule')]","[4.3089814, 4.73846]",4.5237207,"[2, 1]"
"(5067, 11, 7992)",1,1.0,6,5.6155605,"[([(23486, 11, 7992), (23486, 3, 78), (5067, 3, 78)], 0.87199974, 'xrule'), ([(12340, 11, 7992), (12340, 3, 78), (5067, 3, 78)], 0.86569977, 'xrule'), ([(5067, 2, 31), (14544, 2, 31), (14544, 11, 7992)], 0.85700035, 'xrule'), ([(5067, 3, 10), (5067, 3, 6), (5067, 3, 9), (5067, 3, 39)], 0.3896589694675464, 'kelpie'), ([(5067, 3, 10), (5067, 3, 40), (5067, 3, 9), (5067, 3, 39)], 0.38189033841041353, 'kelpie'), ([(5067, 3, 10), (5067, 3, 40), (5067, 3, 6), (5067, 3, 9)], 0.37736229271437055, 'kelpie')]","[5.363065, 5.1446023]",5.253834,"[1, 1]"
"(5645, 9, 11980)",2,5.0,6,6.96239,"[([(5645, 2, 2083), (5645, 3, 630), (5645, 3, 2085), (5645, 2, 2082)], 0.7780685888636881, 'kelpie'), ([(5645, 2, 2083), (5645, 3, 630), (5645, 3, 2085), (5645, 3, 78)], 0.6527681794694207, 'kelpie'), ([(5645, 2, 2083), (5645, 3, 630), (5645, 2, 2082), (5645, 3, 78)], 0.6513801065110644, 'kelpie'), ([(5645, 2, 2083), (18965, 2, 2083), (18965, 9, 11980)], 0.42319965, 'xrule'), ([(18965, 3, 2085), (18965, 9, 11980), (5645, 3, 2085)], 0.39729977, 'xrule'), ([(18965, 2, 2082), (18965, 9, 11980), (5645, 2, 2082)], 0.39350033, 'xrule')]","[5.151711, 5.339538]",5.2456245,"[7, 3]"
"(7628, 12, 4492)",2,2.5,6,8.398114,"[([(7628, 3, 279), (7628, 3, 88), (7628, 3, 149), (7628, 3, 184)], 0.8241100782908817, 'kelpie'), ([(7628, 3, 279), (7628, 3, 40), (7628, 3, 88), (7628, 3, 149)], 0.8223181242311792, 'kelpie'), ([(7628, 3, 279), (7628, 3, 40), (7628, 3, 149), (7628, 3, 184)], 0.8030500880079952, 'kelpie'), ([(24360, 12, 4492), (24360, 3, 40), (7628, 3, 40)], 0.23589993, 'xrule'), ([(7628, 3, 279), (23877, 3, 279), (23877, 12, 4492)], 0.21880054, 'xrule'), ([(7628, 3, 279), (14117, 3, 279), (14117, 12, 4492)], 0.20460033, 'xrule')]","[6.595171, 6.673872]",6.6345215,"[2, 3]"
"(5844, 11, 8038)",1,2.5,6,6.3391323,"[([(5844, 3, 37), (5844, 3, 185), (5844, 3, 78), (5844, 3, 666)], 0.28539375570838993, 'kelpie'), ([(5844, 3, 10), (5844, 3, 37), (5844, 3, 185), (5844, 3, 666)], 0.2757893016297939, 'kelpie'), ([(5844, 3, 37), (5844, 3, 185), (5844, 3, 276), (5844, 3, 666)], 0.2725239207415825, 'kelpie'), ([(5844, 3, 40), (23703, 11, 8038), (23703, 3, 40)], -0.04339981, 'xrule'), ([(23703, 11, 8038), (23703, 3, 185), (5844, 3, 185)], -0.25339985, 'xrule'), ([(23703, 3, 75), (5844, 3, 75), (23703, 11, 8038)], -0.37559986, 'xrule')]","[4.9266615, 5.1169105]",5.0217857,"[3, 2]"
"(6213, 11, 8038)",2,2.5,6,7.5643873,"[([(19548, 11, 8038), (6213, 3, 2132), (19548, 3, 2132)], 0.8337002, 'xrule'), ([(6213, 3, 1839), (25070, 11, 8038), (25070, 3, 1839)], 0.54179955, 'xrule'), ([(6213, 4, 485), (14153, 4, 485), (14153, 11, 8038)], 0.5304003, 'xrule'), ([(6213, 3, 1839), (6213, 3, 651), (6213, 3, 1493), (6213, 3, 1321)], 0.46720032143267964, 'kelpie'), ([(6213, 3, 1839), (6213, 3, 1838), (6213, 3, 1493), (6213, 3, 1321)], 0.44938377773144605, 'kelpie'), ([(6213, 3, 1839), (6213, 3, 1838), (6213, 3, 651), (6213, 3, 1321)], 0.448737186489767, 'kelpie')]","[7.233824, 7.1155314]",7.174678,"[2, 3]"
