new_ranks,new_rank,new_scores,facts,prediction,original_rank,#facts,original_score,perspective,new_score
"[1, 1]",1.0,"[6.2362814, 6.2276707]","[(6246, 3, 6), (17331, 11, 90), (17331, 3, 6), (6246, 3, 6), (18260, 3, 6), (18260, 11, 90), (6246, 3, 6), (23082, 11, 90), (23082, 3, 6)]","(6246, 11, 90)",1,9,6.5092406,all,6.231976
"[2, 5]",3.5,"[6.6302786, 5.984539]","[(6394, 3, 2586), (25754, 9, 3917), (25754, 3, 2586), (25754, 9, 3917), (6394, 3, 9), (25754, 3, 9), (25754, 3, 113), (25754, 9, 3917), (6394, 3, 113)]","(6394, 9, 3917)",1,9,8.089542,all,6.307409
"[1, 1]",1.0,"[8.748932, 8.338564]","[(6427, 3, 278), (25155, 9, 7790), (25155, 3, 278), (6427, 3, 278), (24248, 9, 7790), (6427, 3, 100), (24248, 3, 100)]","(6427, 9, 7790)",1,7,9.176514,all,8.543748
"[3, 2]",2.5,"[5.916006, 5.942216]","[(5645, 2, 2083), (18965, 2, 2083), (18965, 9, 11980), (18965, 3, 2085), (18965, 9, 11980), (5645, 3, 2085), (18965, 2, 2082), (18965, 9, 11980), (5645, 2, 2082)]","(5645, 9, 11980)",2,9,6.96239,all,5.929111
"[1, 1]",1.0,"[7.0730352, 6.9690027]","[(4978, 3, 94), (17301, 3, 94), (17301, 11, 90), (4978, 3, 94), (22154, 3, 94), (22154, 11, 90), (4978, 4, 924), (23793, 11, 90), (23793, 4, 924)]","(4978, 11, 90)",1,9,7.456912,all,7.021019
"[2, 2]",2.0,"[6.817662, 6.9528494]","[(20674, 12, 8644), (7574, 3, 1148), (20674, 3, 1148), (20674, 12, 8644), (20674, 5, 7575), (7574, 5, 7575), (20674, 3, 7583), (20674, 12, 8644), (7574, 3, 7583)]","(7574, 12, 8644)",1,9,8.558601,all,6.885256
"[1, 1]",1.0,"[8.220084, 8.397661]","[(5920, 3, 748), (23192, 3, 748), (23192, 12, 8676), (5920, 3, 748), (8674, 3, 748), (8674, 12, 8676), (5920, 3, 748)]","(5920, 12, 8676)",1,7,9.47781,all,8.308872
"[2, 2]",2.0,"[5.7428446, 6.074317]","[(25172, 3, 40), (25172, 11, 6729), (5110, 3, 40), (5110, 1, 65), (25172, 11, 6729), (25172, 1, 65), (24053, 3, 40), (5110, 3, 40), (24053, 11, 6729)]","(5110, 11, 6729)",2,9,6.395771,all,5.908581
"[2, 1]",1.5,"[5.4024878, 5.7392297]","[(25133, 11, 7984), (6246, 3, 7), (25133, 3, 7), (16481, 4, 66), (6246, 4, 66), (16481, 11, 7984), (6246, 3, 40), (15964, 11, 7984), (15964, 3, 40)]","(6246, 11, 7984)",3,9,5.7324796,all,5.570859
"[1, 1]",1.0,"[5.9765973, 5.6371536]","[(6504, 3, 78), (6504, 3, 9), (6504, 3, 10)]","(6504, 11, 7992)",1,3,6.168879,all,5.806875
"[1, 1]",1.0,"[8.022664, 7.4024014]","[(22042, 9, 11980), (6766, 3, 629), (22042, 3, 629), (22042, 9, 11980), (6766, 2, 2083), (22042, 2, 2083), (22042, 9, 11980), (22042, 3, 630), (6766, 3, 630)]","(6766, 9, 11980)",1,9,8.600188,all,7.712533
