new_scores,#facts,new_score,new_rank,new_ranks,original_rank,original_score,prediction,facts
"[0.09240719676017761, 0.0001501116930739954]",3,0.046278654226625804,2.5,"[1, 4]",1,3.7333531508920714e-05,"(7289, 11, 7956)","[(7289, 3, 78), (7289, 3, 2561), (7289, 1, 2467)]"
"[0.0006676709745079279, 1.821259388634644e-06]",3,0.00033474611694828127,8.0,"[4, 12]",1,5.255751602817327e-06,"(6966, 11, 8038)","[(6966, 3, 185), (6966, 2, 266), (6966, 3, 10)]"
"[2.609035618661437e-06, 2.6740722205431666e-06]",3,2.641553919602302e-06,7.5,"[11, 4]",1,3.855851460343729e-08,"(7751, 10, 7830)","[(7751, 4, 66), (7751, 2, 31), (7751, 8, 7427)]"
"[0.11454934626817703, 1.5997620721464045e-05]",3,0.05728267194444925,2.5,"[1, 4]",1,8.646970672998577e-05,"(4952, 11, 7956)","[(4952, 1, 941), (4952, 2, 31), (4952, 3, 75)]"
"[0.008365602232515812, 0.0013595431810244918]",3,0.004862572706770152,1.0,"[1, 1]",1,6.771103926439537e-06,"(4777, 11, 7956)","[(4777, 1, 1054), (4777, 3, 4779), (4777, 3, 427)]"
"[2.0855361526628258e-06, 4.338668986747507e-06]",3,3.2121025697051664e-06,16.0,"[30, 2]",1,4.383919005590542e-08,"(4912, 10, 7830)","[(4912, 4, 66), (4912, 3, 4915), (4912, 3, 3090)]"
"[0.01133821438997984, 0.026965588331222534]",3,0.019151901360601187,2.5,"[2, 3]",1,4.9305614084005356e-05,"(7392, 8, 7409)","[(7392, 3, 33), (7392, 2, 29), (7392, 3, 220)]"
"[0.021466705948114395, 0.00017459744412917644]",3,0.010820651696121786,4.5,"[3, 6]",1,0.0023090641479939222,"(7289, 8, 7410)","[(7289, 3, 276), (7289, 3, 41), (7289, 3, 78)]"
"[0.02994164265692234, 0.0037345702294260263]",3,0.016838106443174183,2.5,"[1, 4]",1,0.0007060354109853506,"(6383, 8, 7427)","[(6383, 2, 728), (6383, 3, 7), (6383, 3, 733)]"
"[2.731086681251327e-07, 2.0446718735911418e-06]",3,1.1588902708581372e-06,11.0,"[17, 5]",1,1.0150869478309232e-08,"(5897, 10, 7830)","[(5897, 3, 3673), (5897, 3, 10), (5897, 3, 220)]"
"[0.007111987564712763, 0.00015667937987018377]",3,0.0036343334722914733,2.0,"[1, 3]",1,8.857455395627767e-05,"(6213, 8, 7410)","[(6213, 2, 30), (6213, 3, 20), (6213, 3, 651)]"
"[0.07740037143230438, 0.005003226455301046]",3,0.041201798943802714,2.0,"[1, 3]",1,0.00212707556784153,"(5665, 8, 7427)","[(5665, 3, 744), (5665, 3, 9), (5665, 3, 74)]"
"[0.05609443783760071, 0.005347109399735928]",3,0.030720773618668318,1.5,"[1, 2]",1,0.010452235117554665,"(5411, 8, 7410)","[(5411, 3, 5420), (5411, 2, 31), (5411, 2, 68)]"
"[3.043923868517595e-08, 3.853245686968876e-07]",3,2.0788190369103177e-07,79.0,"[110, 48]",1,0.00033357946085743606,"(7610, 9, 7903)","[(7610, 3, 7617), (7610, 3, 7618), (7610, 2, 68)]"
"[0.00543047022074461, 0.004464728757739067]",3,0.0049475994892418385,30.0,"[54, 6]",1,0.000957758747972548,"(7628, 12, 8676)","[(7628, 4, 66), (7628, 8, 7567), (7628, 3, 177)]"
"[0.20926184952259064, 8.734544098842889e-05]",3,0.10467459748178953,2.5,"[1, 4]",1,0.001002475735731423,"(6105, 8, 7427)","[(6105, 3, 2349), (6105, 3, 276), (6105, 4, 66)]"
"[2.1181422198424116e-06, 5.451388915389543e-06]",3,3.7847655676159775e-06,12.5,"[23, 2]",1,5.266637259637719e-08,"(7450, 10, 7830)","[(7450, 2, 30), (7450, 3, 880), (7450, 1, 65)]"
"[2.0925428998452844e-06, 2.116036512234132e-06]",3,2.104289706039708e-06,12.0,"[20, 4]",1,1.688314910097688e-08,"(6263, 10, 7830)","[(6263, 1, 65), (6263, 3, 20), (6263, 2, 30)]"
"[0.001266279723495245, 0.00019221742695663124]",3,0.0007292485752259381,5.0,"[3, 7]",1,0.0002039859682554379,"(6137, 8, 7410)","[(6137, 2, 31), (6137, 3, 902), (6137, 3, 5070)]"
"[5.166892151464708e-06, 1.7523934729979374e-05]",3,1.134541344072204e-05,7.5,"[13, 2]",1,5.568748662199141e-08,"(5067, 10, 7830)","[(5067, 3, 4062), (5067, 2, 29), (5067, 3, 6)]"
