prediction,facts,exp,original_score,new_ranks,new_score,new_scores,new_rank,exp_length,original_rank
"(5110, 8, 7408)","[({(5110, 3, 2039)}, 0.0798770738728885, 'baseline'), ({(5110, 3, 5115)}, 0.07986361070388186, 'baseline'), ({(5110, 3, 277)}, 0.07975975704520025, 'baseline'), ({(5110, 2, 2028)}, 0.07879387867442504, 'baseline'), ({(5110, 2, 788)}, 0.07722385509268674, 'baseline'), ({(5110, 2, 30)}, 0.07264829706715381, 'baseline'), ({(5110, 3, 185)}, 0.07184539269508142, 'baseline'), ({(5110, 1, 65)}, 0.07124103887537767, 'baseline'), ({(5110, 3, 2040)}, 0.06891054938846448, 'baseline'), ({(5110, 2, 31)}, 0.06733551897802778, 'baseline'), ({(5110, 3, 50)}, 0.059250067004868394, 'baseline'), ({(5110, 3, 5118)}, 0.03673649113058082, 'baseline'), ({(5110, 3, 5113)}, 0.036453525518116765, 'baseline'), ({(5110, 3, 51)}, 0.03433053470632045, 'baseline'), ({(5110, 3, 75)}, 0.0212760185146279, 'baseline'), ({(5110, 3, 2030)}, 0.0202152272516726, 'baseline'), ([(5110, 2, 30), (24811, 2, 30), (24811, 8, 7408)], 0.0074000005, 'xrule'), ([(24811, 3, 40), (5110, 3, 40), (24811, 8, 7408)], 0.0067000007, 'xrule'), ([(8287, 8, 7408), (5110, 3, 75), (8287, 3, 75)], 0.0062000006, 'xrule'), ([(5110, 3, 75), (25188, 3, 75), (25188, 8, 7408)], 0.0061000003, 'xrule'), ([(13740, 3, 40), (13740, 8, 7408), (5110, 3, 40)], 0.0059, 'xrule'), ({(5110, 3, 2031)}, -0.004023921739123404, 'baseline'), ({(5110, 3, 39)}, -0.02706283052626616, 'baseline'), ({(5110, 4, 1893)}, -0.04978836049150469, 'baseline'), ({(5110, 3, 276)}, -0.10933630625245183, 'baseline')]","[(19562, 3, 277), (5110, 3, 2039), (5110, 3, 277), (24918, 2, 788), (15494, 8, 7408), (5110, 2, 788), (15494, 2, 2028), (24918, 8, 7408), (25514, 3, 2039), (5110, 2, 2028), (25514, 8, 7408), (19562, 8, 7408), (24918, 3, 5115), (5110, 3, 5115)]",0.00016445291112177074,[2],1.454887751606293e-06,[1.454887751606293e-06],2.0,14,1
"(7177, 11, 7956)","[({(7177, 3, 79)}, 0.023950881267048776, 'baseline'), ({(7177, 3, 33)}, 0.019280784726002892, 'baseline'), ({(7177, 4, 169)}, 0.01757444715330459, 'baseline'), ({(7177, 3, 99)}, 0.01147529386988368, 'baseline'), ({(7177, 3, 10)}, 0.009467932352654515, 'baseline'), ({(7177, 2, 31)}, 0.004009812109668906, 'baseline'), ({(7177, 2, 30)}, 0.0008143660943013834, 'baseline'), ({(7177, 2, 68)}, 8.67088788481443e-05, 'baseline'), ([(12095, 3, 6), (7177, 3, 6), (12095, 11, 7956)], 0.0, 'xrule'), ([(14020, 3, 6), (7177, 3, 6), (14020, 11, 7956)], 0.0, 'xrule'), ([(18317, 3, 6), (18317, 11, 7956), (7177, 3, 6)], 0.0, 'xrule'), ([(19469, 11, 7956), (7177, 3, 6), (19469, 3, 6)], 0.0, 'xrule'), ([(7177, 3, 6), (22315, 3, 6), (22315, 11, 7956)], 0.0, 'xrule'), ({(7177, 3, 100)}, -0.012516104661947478, 'baseline'), ({(7177, 2, 27)}, -0.02216997092912263, 'baseline')]","[(22977, 3, 99), (7177, 3, 79), (7177, 4, 169), (14063, 11, 7956), (24656, 4, 169), (7177, 3, 33), (7177, 3, 10), (22977, 3, 33), (14063, 3, 79), (24656, 11, 7956), (22977, 3, 10), (22977, 11, 7956), (7177, 3, 99)]",5.2181261708028615e-05,[2],0.010655275546014309,[0.010655275546014309],2.0,13,1
"(7536, 12, 4492)","[({(7536, 3, 1077)}, 0.0686858175286437, 'baseline'), ({(7536, 3, 506)}, 0.06827172919005595, 'baseline'), ({(7536, 2, 729)}, 0.06702284796663777, 'baseline'), ({(7536, 2, 728)}, 0.06641379277206347, 'baseline'), ({(7536, 1, 65)}, 0.06614750158266046, 'baseline'), ({(7536, 2, 68)}, 0.06592426728838956, 'baseline'), ({(7536, 8, 7537)}, 0.06589054598018208, 'baseline'), ({(7536, 3, 733)}, 0.06537956276713934, 'baseline'), ({(7536, 3, 1839)}, 0.06371388118258664, 'baseline'), ({(7536, 8, 7393)}, 0.06334842274684443, 'baseline'), ({(7536, 3, 1321)}, 0.0631344272006173, 'baseline'), ({(7536, 3, 37)}, 0.0630239723211229, 'baseline'), ({(7536, 3, 651)}, 0.06201225052978801, 'baseline'), ({(7536, 3, 7542)}, 0.05455416715744877, 'baseline'), ({(7536, 3, 732)}, 0.042438539637542044, 'baseline'), ({(7536, 8, 7409)}, 0.02358767668110254, 'baseline'), ({(7536, 2, 30)}, 0.008151939997947848, 'baseline'), ([(22161, 12, 4492), (22161, 2, 30), (7536, 2, 30)], 0.0, 'xrule'), ([(22161, 2, 68), (7536, 2, 68), (22161, 12, 4492)], 0.0, 'xrule'), ([(22161, 3, 506), (22161, 12, 4492), (7536, 3, 506)], 0.0, 'xrule'), ([(22161, 12, 4492), (22161, 2, 728), (7536, 2, 728)], 0.0, 'xrule'), ([(19798, 12, 4492), (19798, 2, 30), (7536, 2, 30)], 0.0, 'xrule'), ({(7536, 3, 1493)}, -0.12234936366277147, 'baseline')]","[(7536, 2, 729), (7536, 3, 506), (15423, 12, 4492), (25622, 2, 729), (7536, 2, 728), (25622, 12, 4492), (7536, 3, 1077), (7536, 1, 65), (25622, 2, 728), (8048, 12, 4492), (25622, 3, 506), (8048, 3, 1077), (15423, 1, 65)]",0.00012008265184704214,[8],0.00030897572287358344,[0.00030897572287358344],8.0,13,1
"(7182, 10, 7830)","[({(7182, 1, 6071)}, 2.9064202378938808e-05, 'baseline'), ({(7182, 3, 1180)}, 2.7607206418279254e-05, 'baseline'), ({(7182, 3, 1814)}, 2.1976662961920998e-05, 'baseline'), ({(7182, 3, 695)}, 1.9732990464009136e-05, 'baseline'), ({(7182, 2, 172)}, 1.54508856809131e-05, 'baseline'), ({(7182, 3, 41)}, 1.3008375813650392e-05, 'baseline'), ({(7182, 3, 7184)}, 1.2359069356002274e-05, 'baseline'), ({(7182, 3, 20)}, 1.2070999642122378e-05, 'baseline'), ({(7182, 3, 1)}, 9.969761290854731e-06, 'baseline'), ({(7182, 3, 4735)}, 3.986479410044333e-06, 'baseline'), ([(15851, 3, 7), (7182, 3, 7), (15851, 10, 7830)], 0.0, 'xrule'), ([(7182, 3, 7), (18840, 3, 7), (18840, 10, 7830)], 0.0, 'xrule'), ([(19469, 3, 7), (7182, 3, 7), (19469, 10, 7830)], 0.0, 'xrule'), ([(19568, 10, 7830), (7182, 3, 7), (19568, 3, 7)], 0.0, 'xrule'), ([(9658, 2, 266), (9658, 10, 7830), (7182, 2, 266)], 0.0, 'xrule')]","[(7182, 3, 1814), (23434, 3, 695), (7182, 3, 695), (7182, 3, 1180), (22106, 3, 1814), (23434, 2, 172), (22106, 10, 7830), (7182, 1, 6071), (20934, 10, 7830), (15045, 3, 1180), (7182, 2, 172), (20934, 1, 6071), (15045, 10, 7830), (23434, 10, 7830)]",5.526598068072985e-10,[1],0.9898861646652222,[0.9898861646652222],1.0,14,1
"(5234, 8, 7567)","[([(5234, 3, 39), (21865, 3, 39), (21865, 8, 7567)], 0.01999998, 'xrule'), ([(21865, 8, 7567), (21865, 2, 68), (5234, 2, 68)], 0.018299997, 'xrule'), ({(5234, 3, 504)}, 0.01785058430108307, 'baseline'), ({(5234, 2, 31)}, 0.01720779102695131, 'baseline'), ({(5234, 3, 5247)}, 0.017096632121695876, 'baseline'), ({(5234, 3, 5239)}, 0.016980647093328853, 'baseline'), ({(5234, 3, 9)}, 0.016682869719545756, 'baseline'), ({(5234, 3, 5241)}, 0.014221551772628358, 'baseline'), ({(5234, 3, 5236)}, 0.013677082896203159, 'baseline'), ({(5234, 3, 2286)}, 0.012556858342348175, 'baseline'), ({(5234, 2, 4264)}, 0.012363628416406982, 'baseline'), ({(5234, 3, 40)}, 0.009965741027419933, 'baseline'), ({(5234, 4, 924)}, 0.00963534966950055, 'baseline'), ({(5234, 3, 6)}, 0.009279820094073942, 'baseline'), ({(5234, 3, 5245)}, 0.009224390546354726, 'baseline'), ([(5234, 2, 30), (20598, 8, 7567), (20598, 2, 30)], 0.0031000376, 'xrule'), ([(24893, 2, 68), (24893, 8, 7567), (5234, 2, 68)], -0.000100016594, 'xrule'), ({(5234, 3, 7)}, -0.0015573604738367908, 'baseline'), ([(5234, 2, 30), (24893, 2, 30), (24893, 8, 7567)], -0.0027999878, 'xrule'), ({(5234, 2, 68)}, -0.005763572693535198, 'baseline'), ({(5234, 3, 1510)}, -0.008296280185554537, 'baseline'), ({(5234, 3, 10)}, -0.013447583669455265, 'baseline'), ({(5234, 3, 220)}, -0.01901328661429519, 'baseline'), ({(5234, 2, 709)}, -0.019019802153967, 'baseline'), ({(5234, 3, 177)}, -0.021349393796754525, 'baseline')]","[(25223, 8, 7567), (21865, 8, 7567), (5234, 3, 5247), (10488, 3, 5247), (5234, 2, 31), (5234, 3, 39), (25223, 3, 504), (25017, 8, 7567), (5234, 3, 504), (10488, 8, 7567), (25017, 2, 31), (21865, 3, 39), (5234, 2, 68), (21865, 2, 68)]",0.07745267450809479,[8],1.2033235918806895e-07,[1.2033235918806895e-07],8.0,14,1
"(5110, 8, 7593)","[({(5110, 3, 75)}, 0.03448663558192176, 'baseline'), ({(5110, 2, 2028)}, 0.0338313346365177, 'baseline'), ({(5110, 3, 2040)}, 0.03353381802609241, 'baseline'), ({(5110, 3, 50)}, 0.0328298201364186, 'baseline'), ({(5110, 4, 1893)}, 0.029007195431283953, 'baseline'), ({(5110, 3, 2030)}, 0.028656697812933167, 'baseline'), ({(5110, 1, 65)}, 0.019065168625144815, 'baseline'), ({(5110, 3, 2039)}, 0.015724697126944576, 'baseline'), ({(5110, 3, 276)}, 0.0147920427111468, 'baseline'), ({(5110, 3, 185)}, 0.01456262261353084, 'baseline'), ([(5110, 1, 65), (23960, 1, 65), (23960, 8, 7593)], -0.0027999878, 'xrule'), ([(22987, 8, 7593), (5110, 3, 39), (22987, 3, 39)], -0.0045000315, 'xrule'), ([(23960, 8, 7593), (23960, 3, 37), (5110, 3, 37)], -0.0065000057, 'xrule'), ([(23960, 8, 7593), (5110, 2, 30), (23960, 2, 30)], -0.008000016, 'xrule'), ([(17391, 3, 37), (17391, 8, 7593), (5110, 3, 37)], -0.012400031, 'xrule')]","[(5110, 3, 2040), (5110, 3, 50), (14991, 2, 2028), (10240, 8, 7593), (25514, 3, 2040), (13361, 8, 7593), (13361, 3, 75), (5110, 4, 1893), (14991, 8, 7593), (10240, 4, 1893), (5110, 3, 75), (9461, 8, 7593), (5110, 2, 2028), (9461, 3, 50), (25514, 8, 7593)]",0.00010146859858650714,[2],4.925486152274061e-08,[4.925486152274061e-08],2.0,15,1
"(7365, 10, 7830)","[({(7365, 2, 171)}, 1.647097493844453e-05, 'baseline'), ({(7365, 3, 117)}, 9.682273653609912e-06, 'baseline'), ({(7365, 3, 1270)}, 6.33649730425332e-06, 'baseline'), ({(7365, 3, 6002)}, 2.4053265090790273e-06, 'baseline'), ([(7365, 2, 31), (9705, 2, 31), (9705, 10, 7830)], 0.0, 'xrule'), ([(11081, 2, 31), (7365, 2, 31), (11081, 10, 7830)], 0.0, 'xrule'), ([(12545, 2, 31), (7365, 2, 31), (12545, 10, 7830)], 0.0, 'xrule'), ([(15126, 10, 7830), (7365, 2, 31), (15126, 2, 31)], 0.0, 'xrule'), ([(16865, 2, 31), (7365, 2, 31), (16865, 10, 7830)], 0.0, 'xrule'), ({(7365, 3, 7375)}, -1.205294697543733e-06, 'baseline'), ({(7365, 3, 7)}, -6.2871145336762885e-06, 'baseline'), ({(7365, 3, 669)}, -1.687130455608323e-05, 'baseline'), ({(7365, 3, 346)}, -1.8557231247002567e-05, 'baseline'), ({(7365, 3, 7378)}, -2.575047577613053e-05, 'baseline'), ({(7365, 3, 276)}, -3.065959348325319e-05, 'baseline')]","[(10213, 10, 7830), (20567, 3, 1270), (9705, 2, 31), (19690, 10, 7830), (16427, 2, 171), (20567, 10, 7830), (7365, 2, 171), (7365, 3, 117), (10213, 3, 6002), (7365, 3, 1270), (19690, 3, 117), (7365, 3, 6002), (16427, 10, 7830), (7365, 2, 31), (9705, 10, 7830)]",4.245953633130739e-08,[1],0.9862235188484192,[0.9862235188484192],1.0,15,1
"(6383, 8, 7429)","[([(6383, 2, 68), (8641, 8, 7429), (8641, 2, 68)], 0.2809, 'xrule'), ([(6383, 3, 476), (7833, 8, 7429), (7833, 3, 476)], 0.12650001, 'xrule'), ([(7833, 8, 7429), (7833, 3, 7), (6383, 3, 7)], 0.08399999, 'xrule'), ([(24070, 3, 732), (6383, 3, 732), (24070, 8, 7429)], 0.07380003, 'xrule'), ([(6383, 3, 6), (7769, 8, 7429), (7769, 3, 6)], 0.061399996, 'xrule'), ({(6383, 3, 2542)}, 0.00015767088627813744, 'baseline'), ({(6383, 3, 40)}, 0.00014612952941326377, 'baseline'), ({(6383, 3, 751)}, 0.00013859873862146543, 'baseline'), ({(6383, 3, 2417)}, 0.0001166723783271301, 'baseline'), ({(6383, 3, 10)}, 0.00010936155430051594, 'baseline'), ({(6383, 3, 56)}, 0.00010810589863561036, 'baseline'), ({(6383, 3, 303)}, 0.00010584377430320303, 'baseline'), ({(6383, 3, 3058)}, 0.00010213524780103955, 'baseline'), ({(6383, 3, 748)}, 7.914223216245493e-05, 'baseline'), ({(6383, 3, 476)}, 4.619401849995394e-05, 'baseline'), ({(6383, 3, 6386)}, 1.7224647732183475e-05, 'baseline'), ({(6383, 3, 6389)}, 9.785403248119982e-07, 'baseline'), ({(6383, 3, 1526)}, -9.160714726495826e-05, 'baseline'), ({(6383, 2, 728)}, -0.00012718931586587978, 'baseline'), ({(6383, 3, 733)}, -0.00014533619452442934, 'baseline'), ({(6383, 3, 2539)}, -0.0001825676773408037, 'baseline'), ({(6383, 3, 730)}, -0.00023074254992094855, 'baseline'), ({(6383, 3, 220)}, -0.00028827791332354644, 'baseline'), ({(6383, 2, 68)}, -0.00032465613064237836, 'baseline'), ({(6383, 3, 7)}, -0.0013923190225257809, 'baseline')]","[(7833, 8, 7429), (7833, 3, 7), (6383, 3, 7), (6383, 3, 476), (7833, 3, 476), (24070, 3, 732), (8641, 8, 7429), (8641, 2, 68), (7769, 3, 6), (6383, 2, 68), (6383, 3, 6), (6383, 3, 732), (7769, 8, 7429), (24070, 8, 7429)]",4.635970981325954e-05,[7],1.1864378812731502e-08,[1.1864378812731502e-08],7.0,14,1
"(5849, 8, 7410)","[([(5849, 2, 68), (25165, 8, 7410), (25165, 2, 68)], 0.3477, 'xrule'), ([(5849, 2, 31), (9990, 8, 7410), (9990, 2, 31)], 0.2855, 'xrule'), ([(5849, 3, 7), (23950, 8, 7410), (23950, 3, 7)], 0.2733, 'xrule'), ([(5849, 2, 31), (23993, 8, 7410), (23993, 2, 31)], 0.2231, 'xrule'), ([(5849, 2, 31), (23950, 2, 31), (23950, 8, 7410)], 0.1737, 'xrule'), ({(5849, 2, 68)}, 0.0015093368197207887, 'baseline'), ({(5849, 3, 40)}, 0.00116819373082394, 'baseline'), ({(5849, 3, 220)}, 0.0006437071469048394, 'baseline'), ({(5849, 3, 88)}, 0.00027958008146719435, 'baseline'), ({(5849, 3, 91)}, 5.821657803921314e-05, 'baseline'), ({(5849, 3, 5851)}, -0.0015899321622735915, 'baseline'), ({(5849, 3, 7)}, -0.002086750279088052, 'baseline'), ({(5849, 3, 1196)}, -0.0023941644730752576, 'baseline'), ({(5849, 3, 662)}, -0.0033590738351546223, 'baseline'), ({(5849, 3, 5076)}, -0.004857543442475657, 'baseline')]","[(5849, 3, 7), (23993, 8, 7410), (23950, 2, 31), (25165, 8, 7410), (23993, 2, 31), (5849, 2, 68), (23950, 8, 7410), (9990, 8, 7410), (23950, 3, 7), (5849, 2, 31), (25165, 2, 68), (9990, 2, 31)]",0.013211838901042938,[1],9.279928235628176e-06,[9.279928235628176e-06],1.0,12,1
"(5781, 8, 7410)","[({(5781, 1, 65)}, 0.07605574562523049, 'baseline'), ({(5781, 4, 66)}, 0.0753124235011845, 'baseline'), ({(5781, 3, 284)}, 0.07454058064301539, 'baseline'), ({(5781, 2, 2975)}, 0.07389024923788526, 'baseline'), ({(5781, 2, 31)}, 0.07277176063513377, 'baseline'), ({(5781, 3, 516)}, 0.0709930015721594, 'baseline'), ({(5781, 2, 1166)}, 0.07079728970336008, 'baseline'), ({(5781, 3, 5787)}, 0.07044383417194082, 'baseline'), ({(5781, 3, 2977)}, 0.06401153189793261, 'baseline'), ([(15535, 8, 7410), (15535, 3, 41), (5781, 3, 41)], -0.0005000001, 'xrule'), ([(21069, 3, 434), (21069, 8, 7410), (5781, 3, 434)], -0.0015000002, 'xrule'), ([(24915, 2, 31), (24915, 8, 7410), (5781, 2, 31)], -0.0022999998, 'xrule'), ([(9668, 8, 7410), (9668, 1, 65), (5781, 1, 65)], -0.0028, 'xrule'), ([(5781, 2, 31), (9668, 2, 31), (9668, 8, 7410)], -0.0037000002, 'xrule')]","[(16617, 1, 65), (16617, 8, 7410), (15878, 8, 7410), (5781, 2, 31), (24015, 2, 2975), (16617, 4, 66), (5781, 2, 2975), (18578, 3, 284), (15878, 2, 31), (18578, 8, 7410), (5781, 1, 65), (5781, 4, 66), (5781, 3, 284), (24015, 8, 7410)]",0.026959797367453575,[3],6.468272658821661e-06,[6.468272658821661e-06],3.0,14,1
"(6004, 10, 7830)","[({(6004, 1, 2548)}, 0.0010426309202706324, 'baseline'), ({(6004, 4, 66)}, 0.001029336636196649, 'baseline'), ({(6004, 3, 39)}, 0.0010100533062382551, 'baseline'), ({(6004, 2, 31)}, 0.0009978370285335604, 'baseline'), ({(6004, 3, 10)}, 0.0008479129213097436, 'baseline'), ({(6004, 3, 1926)}, 0.0008461535362354429, 'baseline'), ({(6004, 3, 78)}, 0.0007740950595385306, 'baseline'), ({(6004, 2, 68)}, 0.0006172129378765755, 'baseline'), ({(6004, 3, 1927)}, 0.0001905337677263009, 'baseline'), ([(6004, 2, 31), (15042, 2, 31), (15042, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (17444, 2, 31), (17444, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (17533, 10, 7830), (17533, 2, 31)], 0.0, 'xrule'), ([(6004, 2, 31), (17711, 2, 31), (17711, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (19523, 10, 7830), (19523, 2, 31)], 0.0, 'xrule'), ({(6004, 3, 935)}, -9.754432869172506e-05, 'baseline')]","[(25794, 10, 7830), (6004, 3, 10), (6004, 3, 39), (17452, 10, 7830), (24904, 3, 10), (24904, 10, 7830), (6004, 2, 31), (23722, 3, 39), (6004, 4, 66), (17452, 1, 2548), (23722, 10, 7830), (6004, 1, 2548), (23722, 2, 31), (25794, 4, 66)]",3.285558847210268e-08,[1],0.9836086630821228,[0.9836086630821228],1.0,14,1
"(5575, 11, 8038)","[({(5575, 1, 2467)}, 0.4910571999763654, 'baseline'), ({(5575, 3, 2563)}, 0.4321628036034001, 'baseline'), ({(5575, 4, 66)}, 0.30124322689598365, 'baseline'), ({(5575, 3, 115)}, 0.23152406098772355, 'baseline'), ({(5575, 3, 100)}, 0.19543452130775324, 'baseline'), ({(5575, 3, 3079)}, 0.16978774520652593, 'baseline'), ({(5575, 3, 651)}, 0.15668864103412117, 'baseline'), ({(5575, 3, 1407)}, 0.11860112387073571, 'baseline'), ({(5575, 3, 33)}, 0.06633193325955283, 'baseline'), ({(5575, 3, 1132)}, 0.05136738247929164, 'baseline'), ([(11340, 11, 8038), (5575, 4, 66), (11340, 4, 66)], 0.0, 'xrule'), ([(24014, 11, 8038), (24014, 4, 66), (5575, 4, 66)], 0.0, 'xrule'), ([(9725, 11, 8038), (5575, 2, 30), (9725, 2, 30)], 0.0, 'xrule'), ([(11340, 11, 8038), (11340, 2, 30), (5575, 2, 30)], 0.0, 'xrule'), ([(11978, 11, 8038), (11978, 2, 30), (5575, 2, 30)], 0.0, 'xrule')]","[(25630, 11, 8038), (25630, 1, 2467), (5575, 3, 115), (25545, 11, 8038), (23703, 3, 2563), (25545, 4, 66), (25630, 3, 100), (5575, 3, 2563), (5575, 1, 2467), (5575, 4, 66), (5575, 3, 100), (23703, 11, 8038), (25545, 3, 115)]",0.00015194447769317776,[4],4.487437308853259e-06,[4.487437308853259e-06],4.0,13,1
"(4882, 8, 7410)","[([(21519, 8, 7410), (21519, 3, 279), (4882, 3, 279)], 0.0055000004, 'xrule'), ([(4882, 2, 31), (8704, 8, 7410), (8704, 2, 31)], 0.0052000005, 'xrule'), ([(4882, 1, 65), (21519, 8, 7410), (21519, 1, 65)], 0.0051, 'xrule'), ([(4882, 1, 65), (23286, 8, 7410), (23286, 1, 65)], 0.0050000004, 'xrule'), ([(20364, 8, 7410), (20364, 3, 149), (4882, 3, 149)], 0.0049, 'xrule'), ({(4882, 3, 1)}, 0.002783379230305328, 'baseline'), ({(4882, 3, 756)}, 0.0022397944285371444, 'baseline'), ({(4882, 1, 65)}, 0.002073409906358109, 'baseline'), ({(4882, 2, 30)}, 0.00013703056602122325, 'baseline'), ({(4882, 2, 465)}, -0.0002955708677297029, 'baseline'), ({(4882, 3, 469)}, -0.0006536625561471146, 'baseline'), ({(4882, 3, 7)}, -0.002458457199281028, 'baseline'), ({(4882, 3, 279)}, -0.0054790192097865995, 'baseline'), ({(4882, 3, 40)}, -0.006505610478983697, 'baseline'), ({(4882, 3, 6)}, -0.006990811841657214, 'baseline')]","[(4882, 1, 65), (23286, 1, 65), (4882, 3, 279), (23286, 8, 7410), (21519, 8, 7410), (4882, 2, 31), (8704, 8, 7410), (21519, 1, 65), (4882, 3, 149), (20364, 8, 7410), (20364, 3, 149), (8704, 2, 31), (21519, 3, 279)]",0.0005842457758262753,[2],2.2683913414311974e-07,[2.2683913414311974e-07],2.0,13,1
"(6323, 8, 7427)","[({(6323, 3, 75)}, 0.00748676428217296, 'baseline'), ({(6323, 2, 31)}, 0.007474979801724659, 'baseline'), ({(6323, 3, 85)}, 0.0074021359227691725, 'baseline'), ({(6323, 3, 1896)}, 0.007399429986184498, 'baseline'), ({(6323, 3, 1878)}, 0.007251379957666228, 'baseline'), ({(6323, 3, 6326)}, 0.007142752811177949, 'baseline'), ({(6323, 3, 706)}, 0.006951157879255463, 'baseline'), ({(6323, 3, 279)}, 0.006589766992068829, 'baseline'), ({(6323, 3, 609)}, 0.006360621168754802, 'baseline'), ({(6323, 3, 2638)}, 0.006289134694123838, 'baseline'), ({(6323, 3, 78)}, 0.006255963277081024, 'baseline'), ({(6323, 3, 149)}, 0.004891388510631188, 'baseline'), ({(6323, 3, 38)}, 0.004647416929947248, 'baseline'), ({(6323, 2, 68)}, 0.004553672821383892, 'baseline'), ({(6323, 3, 39)}, 0.004515769835008417, 'baseline'), ({(6323, 2, 28)}, 0.003016313507889209, 'baseline'), ({(6323, 2, 70)}, 0.0005702091998069093, 'baseline'), ({(6323, 3, 9)}, -0.0034427517806400842, 'baseline'), ({(6323, 3, 716)}, -0.005061475120255329, 'baseline'), ({(6323, 3, 1902)}, -0.01654834768870057, 'baseline')]","[(12095, 8, 7427), (23722, 8, 7427), (18051, 3, 85), (6323, 2, 31), (12095, 3, 1878), (18051, 8, 7427), (6323, 3, 85), (6323, 3, 75), (6323, 3, 1878), (20498, 3, 1896), (7426, 8, 7427), (20498, 8, 7427), (23722, 2, 31), (6323, 3, 1896), (7426, 3, 75)]",0.0006460305885411799,[2],9.073999649444886e-07,[9.073999649444886e-07],2.0,15,1
"(6373, 10, 7830)","[({(6373, 1, 65)}, 0.010888885680056394, 'baseline'), ({(6373, 3, 731)}, 0.01035161870677007, 'baseline'), ({(6373, 3, 165)}, 0.010121873511241782, 'baseline'), ({(6373, 4, 485)}, 0.009625362167474914, 'baseline'), ({(6373, 3, 6380)}, 0.009323401345280617, 'baseline'), ({(6373, 3, 10)}, 0.00919065342775292, 'baseline'), ({(6373, 2, 31)}, 0.008002078089001175, 'baseline'), ({(6373, 3, 743)}, 0.007416034996994032, 'baseline'), ({(6373, 3, 6375)}, 0.0071721048657698225, 'baseline'), ({(6373, 2, 68)}, 0.006577889881189997, 'baseline'), ([(7833, 10, 7830), (6373, 2, 31), (7833, 2, 31)], 0.0, 'xrule'), ([(14256, 2, 31), (6373, 2, 31), (14256, 10, 7830)], 0.0, 'xrule'), ([(6373, 2, 31), (16033, 10, 7830), (16033, 2, 31)], 0.0, 'xrule'), ([(17022, 2, 31), (6373, 2, 31), (17022, 10, 7830)], 0.0, 'xrule'), ([(6373, 2, 31), (21197, 2, 31), (21197, 10, 7830)], 0.0, 'xrule')]","[(24615, 3, 731), (6373, 3, 6380), (16791, 3, 165), (12211, 3, 6380), (23722, 1, 65), (12211, 10, 7830), (6373, 1, 65), (6373, 3, 731), (18264, 4, 485), (6373, 3, 165), (24615, 10, 7830), (6373, 4, 485), (23722, 10, 7830), (18264, 10, 7830), (16791, 10, 7830)]",6.148118458781937e-09,[1],0.9924831986427307,[0.9924831986427307],1.0,15,1
"(4912, 8, 7410)","[([(21902, 2, 31), (21902, 8, 7410), (4912, 2, 31)], 0.0808, 'xrule'), ([(10213, 8, 7410), (10213, 2, 31), (4912, 2, 31)], 0.07639998, 'xrule'), ([(4912, 3, 75), (10213, 8, 7410), (10213, 3, 75)], 0.064799964, 'xrule'), ([(25452, 2, 31), (25452, 8, 7410), (4912, 2, 31)], 0.047199965, 'xrule'), ([(4912, 3, 75), (13216, 3, 75), (13216, 8, 7410)], 0.03399998, 'xrule'), ({(4912, 3, 220)}, 0.010121667683681177, 'baseline'), ({(4912, 3, 436)}, 0.010034307815465058, 'baseline'), ({(4912, 3, 4)}, 0.009995134474450326, 'baseline'), ({(4912, 3, 2044)}, 0.009949088043137405, 'baseline'), ({(4912, 4, 66)}, 0.00990233007448109, 'baseline'), ({(4912, 3, 6)}, 0.009881689191199517, 'baseline'), ({(4912, 2, 68)}, 0.00980030551848506, 'baseline'), ({(4912, 3, 4915)}, 0.009752015522029187, 'baseline'), ({(4912, 3, 7)}, 0.009728185788218758, 'baseline'), ({(4912, 3, 293)}, 0.009639305961451584, 'baseline'), ({(4912, 3, 40)}, 0.009497531671836092, 'baseline'), ({(4912, 3, 504)}, 0.008269076216715696, 'baseline'), ({(4912, 3, 1019)}, 0.007193433999437259, 'baseline'), ({(4912, 2, 2271)}, 0.006096607051456717, 'baseline'), ({(4912, 3, 738)}, 0.0051473234454536086, 'baseline'), ({(4912, 3, 1020)}, 0.0017878114813775314, 'baseline'), ({(4912, 3, 748)}, -0.0005205665369978662, 'baseline'), ({(4912, 3, 3090)}, -0.0013922462629143652, 'baseline'), ({(4912, 3, 2966)}, -0.0024913782803460544, 'baseline'), ({(4912, 3, 10)}, -0.0036107665627242947, 'baseline')]","[(4912, 3, 75), (10213, 2, 31), (21902, 8, 7410), (13216, 8, 7410), (10213, 3, 75), (10213, 8, 7410), (4912, 2, 31), (25452, 8, 7410), (21902, 2, 31), (13216, 3, 75), (25452, 2, 31)]",0.0015577415470033884,[2],2.795743512251647e-07,[2.795743512251647e-07],2.0,11,1
